# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 571  of event 'cycles:u'
# Event count (approx.): 2469126711
#
# Overhead  Command  Shared Object                 Symbol                                        
# ........  .......  ............................  ..............................................
#
    14.86%  sqgi     sqgi                          [.] SQJitWriteLog::RecordMember
    12.97%  sqgi     sqgi                          [.] SQVM::Execute
     5.53%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_integer_logged
     5.34%  sqgi     sqgi                          [.] sqjit_a64_helper_array_get_object
     4.94%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     4.89%  sqgi     sqgi                          [.] sqjit_a64_root_fallback_safe
     4.17%  sqgi     sqgi                          [.] SQTable::Get
     2.65%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     2.35%  sqgi     sqgi                          [.] SQTable::Set
     1.81%  sqgi     sqgi                          [.] SQVM::Set
     1.80%  sqgi     [JIT] tid 441531              [.] 0x0000ffff804dc214
     1.63%  sqgi     sqgi                          [.] SQVM::Get
     1.45%  sqgi     sqgi                          [.] SQVM::DerefInc
     1.43%  sqgi     [JIT] tid 441531              [.] 0x0000ffff804dc3c0
     1.42%  sqgi     [JIT] tid 441531              [.] 0x0000ffff804df2e4
     1.09%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     1.09%  sqgi     [JIT] tid 441531              [.] 0x0000ffff804de364
     1.09%  sqgi     sqgi                          [.] SQVM::ObjCmp
     0.90%  sqgi     sqgi                          [.] SQVM::FallBackGet
     0.89%  sqgi     [JIT] tid 441531              [.] 0x0000ffff804dc16c
     0.89%  sqgi     [JIT] tid 441531              [.] 0x0000ffff804dc2f8
     0.89%  sqgi     [JIT] tid 441531              [.] 0x0000ffff804dc1a0
     0.86%  sqgi     [JIT] tid 441531              [.] 0x0000ffff804df1f4
     0.73%  sqgi     sqgi                          [.] SQJitWriteLog::Bucket
     0.73%  sqgi     sqgi                          [.] SQVM::ARITH_OP
     0.69%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     0.66%  sqgi     [JIT] tid 441531              [.] 0x0000ffff804df2ec
     0.54%  sqgi     [JIT] tid 441531              [.] 0x0000ffff804dd350
     0.54%  sqgi     [JIT] tid 441531              [.] 0x0000ffff804dc6bc
     0.54%  sqgi     [JIT] tid 441531              [.] 0x0000ffff804df2b0
     0.54%  sqgi     [JIT] tid 441531              [.] 0x0000ffff804dd1f8
     0.54%  sqgi     [JIT] tid 441531              [.] 0x0000ffff804dc4a8
     0.54%  sqgi     [JIT] tid 441531              [.] 0x0000ffff804dc1f8
     0.54%  sqgi     [JIT] tid 441531              [.] 0x0000ffff804df220
     0.53%  sqgi     [JIT] tid 441531              [.] 0x0000ffff804df2c8


#
# (Cannot load tips.txt file, please install perf!)
#
