# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 322  of event 'cycles:u'
# Event count (approx.): 1367630111
#
# Overhead  Command  Shared Object          Symbol                                          
# ........  .......  .....................  ................................................
#
    19.33%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     9.79%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     2.62%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1c248
     2.05%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1d198
     1.97%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1c1dc
     1.97%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc23520
     1.95%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc24364
     1.64%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc238cc
     1.63%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1e30c
     1.63%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1f2b8
     1.63%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc24438
     1.32%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc251dc
     1.31%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc2339c
     1.31%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1e228
     1.31%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1f23c
     1.31%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1e254
     1.31%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1e2f0
     1.02%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1d258
     1.01%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1d298
     0.99%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc23748
     0.99%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1c25c
     0.98%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc23810
     0.98%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1f2e4
     0.98%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc23698
     0.98%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc233b0
     0.98%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc235e4
     0.98%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1c268
     0.94%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc251e8
     0.66%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc237f4
     0.66%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc238c0
     0.66%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc23504
     0.66%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc233a8
     0.66%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc238b0
     0.66%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1f28c
     0.66%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc244d4
     0.66%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1d1b4
     0.66%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1c1f0
     0.66%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc235d0
     0.66%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1f274
     0.66%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1e1a0
     0.65%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc242b0
     0.65%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc244f8
     0.65%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc2346c
     0.65%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc2368c
     0.65%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1f230
     0.65%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc24430
     0.65%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1c1f8
     0.65%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc23458
     0.65%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1f2d0
     0.65%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc23634
     0.65%  sqgi     [JIT] tid 441857       [.] 0x0000ffffaba1f2a4
     0.65%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc251f0
     0.64%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc244f0
     0.61%  sqgi     [JIT] tid 441857       [.] 0x0000ffffabc251c4


#
# (Cannot load tips.txt file, please install perf!)
#
