# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 12931816055
#
# Overhead  Command  Shared Object                 Symbol                                           
# ........  .......  ............................  .................................................
#
    16.73%  sqgi     sqgi                          [.] SQVM::Execute
     4.35%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     2.67%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e31240
     2.29%  sqgi     sqgi                          [.] SQTable::Get
     2.29%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e34258
     2.14%  sqgi     sqgi                          [.] SQJitWriteLog::RecordStackSlot
     1.87%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e33288
     1.84%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     1.77%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     1.74%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e321bc
     1.65%  sqgi     sqgi                          [.] SQJitWriteLog::RetainValue
     1.56%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_reference_logged
     1.53%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e311c8
     1.42%  sqgi     sqgi                          [.] SQJitWriteLog::PublishStackWrite
     1.32%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e3326c
     1.25%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e341d0
     1.24%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e341e4
     1.21%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e321a8
     1.21%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e331b4
     1.14%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e31254
     1.14%  sqgi     libm.so.6                     [.] pow@@GLIBC_2.29
     1.14%  sqgi     sqgi                          [.] SQJitWriteLog::CountPins
     1.11%  sqgi     sqgi                          [.] sqjit_number_conversion_guard
     1.04%  sqgi     sqgi                          [.] SQJitWriteLog::~SQJitWriteLog
     1.04%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e34220
     0.97%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e31284
     0.87%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e321c4
     0.83%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e33250
     0.79%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e34208
     0.79%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e3423c
     0.76%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e33290
     0.76%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e331c8
     0.73%  sqgi     sqgi                          [.] SQJitWriteLog::AppendValue
     0.66%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e34260
     0.66%  sqgi     libm.so.6                     [.] __atan2_finite@GLIBC_2.17
     0.62%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e31268
     0.62%  sqgi     sqgi                          [.] sqjit_a64_helper_publish_stack_write
     0.62%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e3724c
     0.56%  sqgi     sqgi                          [.] SQJitWriteLog::FinishStackWrite
     0.55%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e362e8
     0.54%  sqgi     sqgi                          [.] sqjit_write_log_ensure
     0.52%  sqgi     [JIT] tid 441419              [.] 0x0000ffffb0e3626c
     0.52%  sqgi     sqgi                          [.] SQJitWriteLog::RecordMember


#
# (Cannot load tips.txt file, please install perf!)
#
