# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 6264954369
#
# Overhead  Command  Shared Object            Symbol                                     
# ........  .......  .......................  ...........................................
#
    70.38%  sqgi     sqgi                     [.] SQVM::Execute
     4.44%  sqgi     sqgi                     [.] SQTable::Get
     2.36%  sqgi     sqgi                     [.] sqjit_try_execute_current_loop
     1.43%  sqgi     sqgi                     [.] SQVM::CMP_OP
     1.43%  sqgi     sqgi                     [.] sqjit_number_conversion_guard
     1.41%  sqgi     sqgi                     [.] SQTable::GetCacheSlot
     1.36%  sqgi     sqgi                     [.] SQVM::ObjCmp
     1.15%  sqgi     sqgi                     [.] SQVM::Get
     1.14%  sqgi     sqgi                     [.] SQVM::LeaveFrame
     1.07%  sqgi     sqgi                     [.] sqjit_on_function_enter
     1.07%  sqgi     sqgi                     [.] SQVM::Return
     1.06%  sqgi     sqgi                     [.] sqjit_try_execute_current
     0.79%  sqgi     sqgi                     [.] SQVM::FallBackGet
     0.79%  sqgi     sqgi                     [.] sqjit_a64_helper_array_set_float_logged
     0.79%  sqgi     sqgi                     [.] SQVM::StartCall
     0.71%  sqgi     sqgi                     [.] SQVM::EnterFrame
     0.64%  sqgi     sqgi                     [.] sqjit_loop_header_is_rejected
     0.64%  sqgi     [JIT] tid 441582         [.] 0x0000ffff9ec462f0
     0.57%  sqgi     sqgi                     [.] SQVM::IsFalse
     0.57%  sqgi     [JIT] tid 441582         [.] 0x0000ffff9ec465a0
     0.57%  sqgi     sqgi                     [.] SQJitWriteLog::CanRelease
     0.50%  sqgi     sqgi                     [.] sqjit_context


#
# (Cannot load tips.txt file, please install perf!)
#
