# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:u'
# Event count (approx.): 20418469745
#
# Overhead  Command  Shared Object            Symbol                                          
# ........  .......  .......................  ................................................
#
    18.58%  sqgi     sqgi                     [.] SQVM::Execute
     7.45%  sqgi     sqgi                     [.] SQJitWriteLog::RetainValue
     7.33%  sqgi     sqgi                     [.] SQJitWriteLog::PublishStackWrite
     6.99%  sqgi     sqgi                     [.] SQJitWriteLog::CanRelease
     6.41%  sqgi     sqgi                     [.] SQJitWriteLog::RecordStackSlot
     6.13%  sqgi     sqgi                     [.] sqjit_a64_helper_member_set_reference_logged
     5.36%  sqgi     sqgi                     [.] SQJitWriteLog::~SQJitWriteLog
     4.05%  sqgi     sqgi                     [.] SQJitWriteLog::AppendValue
     4.04%  sqgi     sqgi                     [.] SQJitWriteLog::CountPins
     2.77%  sqgi     sqgi                     [.] sqjit_a64_helper_publish_stack_write
     2.59%  sqgi     sqgi                     [.] SQJitWriteLog::RecordMember
     2.04%  sqgi     sqgi                     [.] SQJitWriteLog::ReleaseEntry
     1.91%  sqgi     sqgi                     [.] sqjit_a64_helper_table_get_array_ptr
     1.72%  sqgi     sqgi                     [.] sqjit_write_log_ensure
     1.71%  sqgi     sqgi                     [.] SQJitWriteLog::Append
     1.58%  sqgi     sqgi                     [.] sqjit_try_execute_closure
     1.14%  sqgi     sqgi                     [.] SQTable::Get
     1.08%  sqgi     sqgi                     [.] SQJitWriteLog::Index
     1.03%  sqgi     sqgi                     [.] sqjit_try_execute_current_loop
     1.01%  sqgi     sqgi                     [.] sqjit_try_execute_current
     0.94%  sqgi     sqgi                     [.] SQJitWriteLog::ReleaseValue
     0.81%  sqgi     sqgi                     [.] sqjit_a64_helper_member_set_integer_logged
     0.79%  sqgi     sqgi                     [.] SQJitWriteLog::FinishStackWrite
     0.77%  sqgi     sqgi                     [.] SQVM::ObjCmp
     0.68%  sqgi     sqgi                     [.] SQJitWriteLog::SQJitWriteLog
     0.66%  sqgi     sqgi                     [.] SQVM::StartCall
     0.59%  sqgi     sqgi                     [.] sqjit_native_call_fits_stack
     0.51%  sqgi     sqgi                     [.] SQJitWriteLog::BeginStackWrite
     0.50%  sqgi     sqgi                     [.] SQVM::Return


#
# (Cannot load tips.txt file, please install perf!)
#
