# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 9562073039
#
# Overhead  Command  Shared Object                 Symbol                                   
# ........  .......  ............................  .........................................
#
    18.35%  sqgi     [JIT] tid 441907              [.] 0x0000ffffb6f17258
    13.61%  sqgi     [JIT] tid 441907              [.] 0x0000ffffb6f171e4
    11.82%  sqgi     [JIT] tid 441907              [.] 0x0000ffffb6f171d0
     9.44%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     7.42%  sqgi     [JIT] tid 441907              [.] 0x0000ffffb6f17220
     7.31%  sqgi     [JIT] tid 441907              [.] 0x0000ffffb6f1723c
     5.45%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     5.34%  sqgi     [JIT] tid 441907              [.] 0x0000ffffb6f17208
     5.11%  sqgi     [JIT] tid 441907              [.] 0x0000ffffb6f17260
     3.66%  sqgi     [JIT] tid 441907              [.] 0x0000ffffb6f1720c
     1.55%  sqgi     [JIT] tid 441907              [.] 0x0000ffffb6f17198
     1.27%  sqgi     [JIT] tid 441907              [.] 0x0000ffffb6f17178
     1.27%  sqgi     [JIT] tid 441907              [.] 0x0000ffffb6f17108
     1.22%  sqgi     [JIT] tid 441907              [.] 0x0000ffffb6f171f8
     1.22%  sqgi     [JIT] tid 441907              [.] 0x0000ffffb6f17158
     1.22%  sqgi     [JIT] tid 441907              [.] 0x0000ffffb6f17128
     0.94%  sqgi     [JIT] tid 441907              [.] 0x0000ffffb6f17148
     0.80%  sqgi     [JIT] tid 441907              [.] 0x0000ffffb6f171b8
     0.80%  sqgi     [JIT] tid 441907              [.] 0x0000ffffb6f17204
     0.75%  sqgi     [JIT] tid 441907              [.] 0x0000ffffb6f171a0
     0.61%  sqgi     [JIT] tid 441907              [.] 0x0000ffffb6f171c0


#
# (Cannot load tips.txt file, please install perf!)
#
