# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:u'
# Event count (approx.): 20707503890
#
# Overhead  Command  Shared Object               Symbol                                          
# ........  .......  ..........................  ................................................
#
    30.17%  sqgi     sqgi                        [.] SQVM::Execute
     6.97%  sqgi     sqgi                        [.] SQJitWriteLog::PublishStackWrite
     6.48%  sqgi     sqgi                        [.] SQJitWriteLog::RecordStackSlot
     5.93%  sqgi     sqgi                        [.] SQJitWriteLog::RetainValue
     5.93%  sqgi     sqgi                        [.] SQJitWriteLog::CanRelease
     4.93%  sqgi     sqgi                        [.] sqjit_a64_helper_member_set_reference_logged
     4.87%  sqgi     sqgi                        [.] SQJitWriteLog::CountPins
     4.13%  sqgi     sqgi                        [.] SQJitWriteLog::~SQJitWriteLog
     2.75%  sqgi     sqgi                        [.] sqjit_a64_helper_publish_stack_write
     2.40%  sqgi     sqgi                        [.] SQJitWriteLog::AppendValue
     2.19%  sqgi     sqgi                        [.] SQTable::Get
     1.95%  sqgi     sqgi                        [.] SQJitWriteLog::RecordMember
     1.73%  sqgi     sqgi                        [.] sqjit_write_log_ensure
     1.56%  sqgi     sqgi                        [.] sqjit_try_execute_current
     1.39%  sqgi     sqgi                        [.] SQJitWriteLog::FinishStackWrite
     1.23%  sqgi     sqgi                        [.] SQVM::LeaveFrame
     1.17%  sqgi     sqgi                        [.] SQJitWriteLog::Append
     0.97%  sqgi     sqgi                        [.] SQJitWriteLog::ReleaseEntry
     0.93%  sqgi     sqgi                        [.] SQJitWriteLog::Index
     0.87%  sqgi     sqgi                        [.] SQVM::Return
     0.80%  sqgi     sqgi                        [.] SQVM::StartCall
     0.67%  sqgi     sqgi                        [.] SQVM::Get
     0.65%  sqgi     sqgi                        [.] sqjit_a64_helper_finish_stack_write
     0.65%  sqgi     sqgi                        [.] SQJitWriteLog::ReleaseValue
     0.58%  sqgi     sqgi                        [.] SQJitWriteLog::BeginStackWrite
     0.58%  sqgi     sqgi                        [.] sqjit_try_execute_closure
     0.56%  sqgi     sqgi                        [.] SQVM::ObjCmp


#
# (Cannot load tips.txt file, please install perf!)
#
