# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 5795728103
#
# Overhead  Command  Shared Object          Symbol                                   
# ........  .......  .....................  .........................................
#
    24.57%  sqgi     [JIT] tid 441914       [.] 0x0000ffffb79231bc
    17.77%  sqgi     [JIT] tid 441914       [.] 0x0000ffffb79231a8
    13.58%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
    13.30%  sqgi     [JIT] tid 441914       [.] 0x0000ffffb79231c4
     9.37%  sqgi     [JIT] tid 441914       [.] 0x0000ffffb79231ac
     8.41%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     2.77%  sqgi     [JIT] tid 441914       [.] 0x0000ffffb7923148
     1.94%  sqgi     [JIT] tid 441914       [.] 0x0000ffffb7923128
     1.93%  sqgi     [JIT] tid 441914       [.] 0x0000ffffb7923158
     1.70%  sqgi     [JIT] tid 441914       [.] 0x0000ffffb7923178
     1.55%  sqgi     [JIT] tid 441914       [.] 0x0000ffffb7923198
     1.55%  sqgi     [JIT] tid 441914       [.] 0x0000ffffb7923108
     0.54%  sqgi     [JIT] tid 441914       [.] 0x0000ffffb792319c


#
# (Cannot load tips.txt file, please install perf!)
#
