# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 629  of event 'cycles:u'
# Event count (approx.): 2793547773
#
# Overhead  Command  Shared Object                 Symbol                                          
# ........  .......  ............................  ................................................
#
    29.85%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
    10.92%  sqgi     libm.so.6                     [.] pow@@GLIBC_2.29
    10.59%  sqgi     sqgi                          [.] sqjit_a64_helper_member_native_closure_guard
     7.86%  sqgi     sqgi                          [.] sqjit_number_conversion_guard
     6.42%  sqgi     sqgi                          [.] SQTable::Get
     2.73%  sqgi     libm.so.6                     [.] __sin
     2.40%  sqgi     [JIT] tid 441971              [.] 0x0000ffffb952e8d0
     2.25%  sqgi     [JIT] tid 441971              [.] 0x0000ffffb952e950
     1.76%  sqgi     [JIT] tid 441971              [.] 0x0000ffffb952e794
     1.61%  sqgi     libm.so.6                     [.] __cos
     1.45%  sqgi     [JIT] tid 441971              [.] 0x0000ffffb952e650
     1.29%  sqgi     [JIT] tid 441971              [.] 0x0000ffffb952e748
     1.28%  sqgi     [JIT] tid 441971              [.] 0x0000ffffb952e350
     0.80%  sqgi     [JIT] tid 441971              [.] 0x0000ffffb952e444
     0.80%  sqgi     [JIT] tid 441971              [.] 0x0000ffffb952e634
     0.80%  sqgi     [JIT] tid 441971              [.] 0x0000ffffb952e4ac
     0.80%  sqgi     libc.so.6                     [.] memcmp
     0.79%  sqgi     [JIT] tid 441971              [.] 0x0000ffffb952e934
     0.64%  sqgi     [JIT] tid 441971              [.] 0x0000ffffb952e72c
     0.64%  sqgi     [JIT] tid 441971              [.] 0x0000ffffb952e1b8


#
# (Cannot load tips.txt file, please install perf!)
#
