# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 982  of event 'cycles:u'
# Event count (approx.): 4325261493
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
     8.52%  sqgi     sqgi                          [.] SQJitWriteLog::Contains
     8.29%  sqgi     sqgi                          [.] sqjit_number_conversion_guard
     5.46%  sqgi     sqgi                          [.] SQJitWriteLog::RecordArray
     4.76%  sqgi     sqgi                          [.] sqjit_a64_helper_array_set_float_logged
     3.93%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     3.63%  sqgi     sqgi                          [.] SQTable::Get
     2.70%  sqgi     sqgi                          [.] sqjit_a64_helper_array_ptr_set_float_logged
     2.19%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82893ef0
     1.87%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82893a40
     1.86%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82893de8
     1.76%  sqgi     [JIT] tid 441979              [.] 0x0000ffff828937f8
     1.66%  sqgi     [JIT] tid 441979              [.] 0x0000ffff828936cc
     1.54%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82893cd4
     1.45%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82893c40
     1.35%  sqgi     [JIT] tid 441979              [.] 0x0000ffff828941d0
     1.35%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82893b6c
     1.24%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82893e68
     1.11%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82893d68
     1.04%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82893d54
     0.93%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82893c54
     0.83%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82893e7c
     0.83%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82893358
     0.83%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82893fc4
     0.83%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82893484
     0.83%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82894048
     0.73%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82893470
     0.73%  sqgi     [JIT] tid 441979              [.] 0x0000ffff828941bc
     0.73%  sqgi     [JIT] tid 441979              [.] 0x0000ffff8289362c
     0.63%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82893fa4
     0.63%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82894128
     0.62%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82893c1c
     0.62%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82893fac
     0.62%  sqgi     [JIT] tid 441979              [.] 0x0000ffff828939a0
     0.62%  sqgi     [JIT] tid 441979              [.] 0x0000ffff8289359c
     0.62%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82894194
     0.62%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82893758
     0.53%  sqgi     [JIT] tid 441979              [.] 0x0000ffff8289319c
     0.53%  sqgi     [JIT] tid 441979              [.] 0x0000ffff8289426c
     0.52%  sqgi     [JIT] tid 441979              [.] 0x0000ffff828942f4
     0.52%  sqgi     [JIT] tid 441979              [.] 0x0000ffff828933e4
     0.52%  sqgi     [JIT] tid 441979              [.] 0x0000ffff8289370c
     0.52%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82893768
     0.52%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82894268
     0.52%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82893ef8
     0.52%  sqgi     [JIT] tid 441979              [.] 0x0000ffff82894114
     0.52%  sqgi     [JIT] tid 441979              [.] 0x0000ffff8289363c


#
# (Cannot load tips.txt file, please install perf!)
#
