# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 6449250169
#
# Overhead  Command  Shared Object          Symbol                                                                                                 
# ........  .......  .....................  .......................................................................................................
#
    84.87%  sqgi     sqgi                   [.] SQVM::Execute
     3.26%  sqgi     sqgi                   [.] SQTable::Get
     1.81%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     1.74%  sqgi     sqgi                   [.] SQVM::ObjCmp
     1.60%  sqgi     sqgi                   [.] SQVM::CMP_OP
     1.39%  sqgi     sqgi                   [.] SQVM::FallBackGet
     1.25%  sqgi     sqgi                   [.] sqjit_loop_header_is_rejected
     1.03%  sqgi     sqgi                   [.] SQVM::IsFalse
     0.97%  sqgi     sqgi                   [.] SQVM::Get
     0.76%  sqgi     sqgi                   [.] SQVM::IsEqual
     0.63%  sqgi     sqgi                   [.] SQVM::InvokeDefaultDelegate


#
# (Cannot load tips.txt file, please install perf!)
#
