# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 7083982487
#
# Overhead  Command  Shared Object               Symbol                                        
# ........  .......  ..........................  ..............................................
#
    34.33%  sqgi     sqgi                        [.] SQJitWriteLog::RecordMember
    17.33%  sqgi     sqgi                        [.] sqjit_a64_helper_array_get_object
     8.57%  sqgi     sqgi                        [.] sqjit_a64_helper_member_set_integer_logged
     8.04%  sqgi     [JIT] tid 442032            [.] 0x0000ffffb4a88214
     4.01%  sqgi     sqgi                        [.] SQJitWriteLog::CanRelease
     3.18%  sqgi     [JIT] tid 442032            [.] 0x0000ffffb4a882f8
     3.06%  sqgi     [JIT] tid 442032            [.] 0x0000ffffb4a881f8
     2.12%  sqgi     [JIT] tid 442032            [.] 0x0000ffffb4a883c0
     1.94%  sqgi     [JIT] tid 442032            [.] 0x0000ffffb4a881a0
     1.38%  sqgi     [JIT] tid 442032            [.] 0x0000ffffb4a8866c
     1.19%  sqgi     [JIT] tid 442032            [.] 0x0000ffffb4a8817c
     0.87%  sqgi     [JIT] tid 442032            [.] 0x0000ffffb4a8816c
     0.81%  sqgi     [JIT] tid 442032            [.] 0x0000ffffb4a88240
     0.81%  sqgi     sqgi                        [.] SQJitWriteLog::Bucket
     0.69%  sqgi     [JIT] tid 442032            [.] 0x0000ffffb4a8842c
     0.63%  sqgi     [JIT] tid 442032            [.] 0x0000ffffb4a88744


#
# (Cannot load tips.txt file, please install perf!)
#
