# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 5226220564
#
# Overhead  Command  Shared Object                 Symbol                           
# ........  .......  ............................  .................................
#
     5.83%  sqgi     sqgi                          [.] SQTable::Get
     4.47%  sqgi     sqgi                          [.] sqjit_number_conversion_guard
     2.14%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517198
     1.46%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517178
     1.37%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517f40
     1.28%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517c24
     1.12%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517c08
     1.12%  sqgi     [JIT] tid 441921              [.] 0x0000ffff915173a0
     1.03%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517c64
     1.03%  sqgi     [JIT] tid 441921              [.] 0x0000ffff9151785c
     1.03%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517a38
     1.03%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517be4
     1.03%  sqgi     [JIT] tid 441921              [.] 0x0000ffff915175e0
     1.01%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517520
     0.86%  sqgi     [JIT] tid 441921              [.] 0x0000ffff915176f8
     0.86%  sqgi     [JIT] tid 441921              [.] 0x0000ffff9151774c
     0.86%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517938
     0.86%  sqgi     [JIT] tid 441921              [.] 0x0000ffff915172cc
     0.86%  sqgi     [JIT] tid 441921              [.] 0x0000ffff9151741c
     0.86%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517df4
     0.77%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517bf0
     0.77%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517218
     0.77%  sqgi     [JIT] tid 441921              [.] 0x0000ffff9151724c
     0.77%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517d30
     0.77%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517af4
     0.77%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517f80
     0.69%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517ed8
     0.69%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517a68
     0.69%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517ad8
     0.69%  sqgi     [JIT] tid 441921              [.] 0x0000ffff9151793c
     0.69%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517964
     0.69%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517a18
     0.61%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517d1c
     0.60%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517300
     0.60%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517ba4
     0.60%  sqgi     [JIT] tid 441921              [.] 0x0000ffff9151740c
     0.60%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517af0
     0.60%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517c44
     0.60%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517edc
     0.60%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517434
     0.60%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517adc
     0.60%  sqgi     [JIT] tid 441921              [.] 0x0000ffff915176e8
     0.60%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517de8
     0.60%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517854
     0.60%  sqgi     [JIT] tid 441921              [.] 0x0000ffff9151717c
     0.60%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517ae4
     0.60%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517968
     0.59%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517a1c
     0.52%  sqgi     [JIT] tid 441921              [.] 0x0000ffff915177d8
     0.52%  sqgi     [JIT] tid 441921              [.] 0x0000ffff9151757c
     0.52%  sqgi     [JIT] tid 441921              [.] 0x0000ffff915176c8
     0.52%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517ac4
     0.52%  sqgi     [JIT] tid 441921              [.] 0x0000ffff915177f8
     0.52%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517380
     0.51%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517424
     0.51%  sqgi     [JIT] tid 441921              [.] 0x0000ffff915175ac
     0.51%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517ed4
     0.51%  sqgi     [JIT] tid 441921              [.] 0x0000ffff91517a50
     0.51%  sqgi     [JIT] tid 441921              [.] 0x0000ffff9151764c


#
# (Cannot load tips.txt file, please install perf!)
#
