# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 7218877335
#
# Overhead  Command  Shared Object          Symbol                             
# ........  .......  .....................  ...................................
#
    49.42%  sqgi     sqgi                   [.] SQVM::Execute
    17.40%  sqgi     sqgi                   [.] SQTable::Get
     4.65%  sqgi     sqgi                   [.] SQVM::DerefInc
     4.33%  sqgi     sqgi                   [.] SQVM::Get
     3.90%  sqgi     sqgi                   [.] SQTable::Set
     3.78%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     3.53%  sqgi     sqgi                   [.] SQVM::Set
     3.47%  sqgi     sqgi                   [.] SQVM::FallBackGet
     3.10%  sqgi     sqgi                   [.] SQVM::ObjCmp
     1.55%  sqgi     sqgi                   [.] SQVM::IsFalse
     0.93%  sqgi     sqgi                   [.] SQVM::InvokeDefaultDelegate
     0.93%  sqgi     sqgi                   [.] sqjit_loop_header_is_rejected
     0.87%  sqgi     sqgi                   [.] SQVM::CMP_OP
     0.87%  sqgi     sqgi                   [.] SQVM::ARITH_OP


#
# (Cannot load tips.txt file, please install perf!)
#
