# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles:u'
# Event count (approx.): 28354286017
#
# Overhead  Command  Shared Object            Symbol                                           
# ........  .......  .......................  .................................................
#
    19.58%  sqgi     sqgi                     [.] SQJitWriteLog::RecordStackSlot
    12.95%  sqgi     sqgi                     [.] SQJitWriteLog::RetainValue
     9.06%  sqgi     sqgi                     [.] SQJitWriteLog::CanRelease
     8.92%  sqgi     sqgi                     [.] SQJitWriteLog::PublishStackWrite
     7.67%  sqgi     sqgi                     [.] SQJitWriteLog::CountPins
     4.18%  sqgi     sqgi                     [.] sqjit_a64_helper_publish_stack_write
     3.89%  sqgi     sqgi                     [.] SQJitWriteLog::RecordMember
     2.87%  sqgi     sqgi                     [.] SQTable::Get
     2.72%  sqgi     sqgi                     [.] SQJitWriteLog::FinishStackWrite
     2.59%  sqgi     sqgi                     [.] sqjit_write_log_ensure
     2.28%  sqgi     sqgi                     [.] sqjit_a64_helper_member_set_integer_logged
     2.23%  sqgi     sqgi                     [.] sqjit_a64_helper_table_get_array_ptr
     2.08%  sqgi     sqgi                     [.] sqjit_a64_helper_member_set_reference_logged
     1.94%  sqgi     sqgi                     [.] sqjit_a64_helper_member_set_float_logged
     1.42%  sqgi     sqgi                     [.] sqjit_a64_helper_table_get_float
     1.36%  sqgi     sqgi                     [.] SQJitWriteLog::BuildPins
     1.09%  sqgi     sqgi                     [.] SQJitWriteLog::Contains
     0.90%  sqgi     sqgi                     [.] SQJitWriteLog::RecordArray
     0.76%  sqgi     sqgi                     [.] sqjit_a64_helper_finish_stack_write
     0.71%  sqgi     [JIT] tid 441629         [.] 0x0000ffff8ffcc608
     0.66%  sqgi     [JIT] tid 441629         [.] 0x0000ffff8ffcc2c8
     0.63%  sqgi     sqgi                     [.] sqjit_a64_helper_array_ptr_set_integer_logged
     0.60%  sqgi     [JIT] tid 441629         [.] 0x0000ffff8ffccc38
     0.54%  sqgi     [JIT] tid 441629         [.] 0x0000ffff8ffccd68


#
# (Cannot load tips.txt file, please install perf!)
#
