# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 412  of event 'cycles:u'
# Event count (approx.): 1792079775
#
# Overhead  Command  Shared Object               Symbol                                                
# ........  .......  ..........................  ......................................................
#
    20.83%  sqgi     sqgi                        [.] SQVM::Execute
     6.56%  sqgi     sqgi                        [.] sqjit_try_execute_closure
     5.47%  sqgi     sqgi                        [.] SQJitWriteLog::RecordMember
     5.18%  sqgi     sqgi                        [.] SQJitWriteLog::CanRelease
     4.76%  sqgi     sqgi                        [.] sqjit_a64_helper_member_set_integer_logged
     4.52%  sqgi     sqgi                        [.] sqjit_a64_resolve_root_store_slot
     4.01%  sqgi     sqgi                        [.] SQJitWriteLog::~SQJitWriteLog
     3.86%  sqgi     sqgi                        [.] sqjit_a64_helper_member_set_reference_logged
     3.26%  sqgi     sqgi                        [.] sqjit_a64_borrow_member_ptr_value
     2.80%  sqgi     sqgi                        [.] SQJitWriteLog::CountPins
     2.50%  sqgi     sqgi                        [.] sqjit_try_execute_current_loop
     2.18%  sqgi     sqgi                        [.] sqjit_a64_write_log_record_member
     2.00%  sqgi     [JIT] tid 441561            [.] 0x0000ffffb7814190
     1.77%  sqgi     sqgi                        [.] SQJitWriteLog::PublishStackWrite
     1.50%  sqgi     sqgi                        [.] SQVM::ObjCmp
     1.50%  sqgi     sqgi                        [.] sqjit_write_log_ensure
     1.44%  sqgi     sqgi                        [.] sqjit_a64_helper_member_closure_guard
     1.32%  sqgi     [JIT] tid 441561            [.] 0x0000ffffb7817218
     1.26%  sqgi     [JIT] tid 441561            [.] 0x0000ffffb78141c4
     1.25%  sqgi     sqgi                        [.] SQJitWriteLog::ReleaseEntry
     1.25%  sqgi     sqgi                        [.] sqjit_context
     1.25%  sqgi     sqgi                        [.] SQJitWriteLog::SQJitWriteLog
     1.03%  sqgi     sqgi                        [.] SQJitWriteLog::AppendValue
     1.00%  sqgi     sqgi                        [.] sqjit_proto_backoff_active
     1.00%  sqgi     sqgi                        [.] SQJitWriteLog::Index
     1.00%  sqgi     [JIT] tid 441561            [.] 0x0000ffffb7815194
     1.00%  sqgi     sqgi                        [.] sqjit_write_log_init_frame
     0.75%  sqgi     sqgi                        [.] sqjit_loop_backoff_active
     0.75%  sqgi     sqgi                        [.] sqjit_a64_helper_publish_stack_write
     0.61%  sqgi     [JIT] tid 441561            [.] 0x0000ffffb78171ac
     0.60%  sqgi     sqgi                        [.] sqjit_a64_helper_instance_field_set_integer_logged
     0.53%  sqgi     sqgi                        [.] SQJitWriteLog::BuildPins
     0.50%  sqgi     [JIT] tid 441561            [.] 0x0000ffffb78141b0
     0.50%  sqgi     sqgi                        [.] SQVM::CMP_OP
     0.50%  sqgi     [JIT] tid 441561            [.] 0x0000ffffb7816074
     0.50%  sqgi     sqgi                        [.] sqjit_native_precheck
     0.50%  sqgi     sqgi                        [.] sqjit_loop_header_is_rejected
     0.50%  sqgi     sqgi                        [.] sqjit_write_log_release


#
# (Cannot load tips.txt file, please install perf!)
#
