# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 12661431698
#
# Overhead  Command  Shared Object          Symbol                                           
# ........  .......  .....................  .................................................
#
    18.07%  sqgi     sqgi                   [.] SQVM::Execute
     4.80%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     3.00%  sqgi     [JIT] tid 466280       [.] 0x0000ffff89dfc230
     2.48%  sqgi     [JIT] tid 466280       [.] 0x0000ffff89dff240
     1.99%  sqgi     [JIT] tid 466280       [.] 0x0000ffff89dfe268
     1.96%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     1.92%  sqgi     sqgi                   [.] SQJitWriteLog::RecordStackSlot
     1.91%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     1.73%  sqgi     [JIT] tid 466280       [.] 0x0000ffff89dff1d4
     1.72%  sqgi     sqgi                   [.] SQJitWriteLog::RetainValue
     1.69%  sqgi     sqgi                   [.] SQTable::Get
     1.57%  sqgi     sqgi                   [.] SQJitWriteLog::PublishStackWrite
     1.53%  sqgi     [JIT] tid 466280       [.] 0x0000ffff89dfd1b4
     1.49%  sqgi     [JIT] tid 466280       [.] 0x0000ffff89dfd1a0
     1.46%  sqgi     [JIT] tid 466280       [.] 0x0000ffff89dfe1ac
     1.46%  sqgi     [JIT] tid 466280       [.] 0x0000ffff89dff1c0
     1.39%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.21%  sqgi     [JIT] tid 466280       [.] 0x0000ffff89dfe254
     1.14%  sqgi     [JIT] tid 466280       [.] 0x0000ffff89dfc1c0
     1.14%  sqgi     [JIT] tid 466280       [.] 0x0000ffff89dff210
     1.14%  sqgi     libm.so.6              [.] pow@@GLIBC_2.29
     1.11%  sqgi     [JIT] tid 466280       [.] 0x0000ffff89dfc244
     1.07%  sqgi     sqgi                   [.] SQJitWriteLog::~SQJitWriteLog
     1.03%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_reference_logged
     1.00%  sqgi     sqgi                   [.] sqjit_a64_helper_publish_stack_write
     0.92%  sqgi     [JIT] tid 466280       [.] 0x0000ffff89dfe238
     0.89%  sqgi     [JIT] tid 466280       [.] 0x0000ffff89dfc274
     0.86%  sqgi     [JIT] tid 466280       [.] 0x0000ffff89dfe1c0
     0.85%  sqgi     [JIT] tid 466280       [.] 0x0000ffff89dfd1bc
     0.78%  sqgi     [JIT] tid 466280       [.] 0x0000ffff8a005244
     0.75%  sqgi     [JIT] tid 466280       [.] 0x0000ffff89dfc258
     0.75%  sqgi     sqgi                   [.] SQJitWriteLog::AppendValue
     0.75%  sqgi     [JIT] tid 466280       [.] 0x0000ffff8a004264
     0.72%  sqgi     [JIT] tid 466280       [.] 0x0000ffff89dfe270
     0.70%  sqgi     [JIT] tid 466280       [.] 0x0000ffff89dff248
     0.65%  sqgi     sqgi                   [.] SQJitWriteLog::FinishStackWrite
     0.60%  sqgi     sqgi                   [.] SQJitWriteLog::RecordMember
     0.57%  sqgi     [JIT] tid 466280       [.] 0x0000ffff89dff22c
     0.57%  sqgi     [JIT] tid 466280       [.] 0x0000ffff8a0042e0


#
# (Cannot load tips.txt file, please install perf!)
#
