# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:u'
# Event count (approx.): 25447910331
#
# Overhead  Command  Shared Object            Symbol                                           
# ........  .......  .......................  .................................................
#
    21.70%  sqgi     sqgi                     [.] SQJitWriteLog::RecordStackSlot
    15.55%  sqgi     sqgi                     [.] SQJitWriteLog::RetainValue
     9.36%  sqgi     sqgi                     [.] SQJitWriteLog::CanRelease
     9.16%  sqgi     sqgi                     [.] SQJitWriteLog::PublishStackWrite
     5.39%  sqgi     sqgi                     [.] sqjit_a64_helper_publish_stack_write
     4.12%  sqgi     sqgi                     [.] SQJitWriteLog::RecordMember
     3.33%  sqgi     sqgi                     [.] SQJitWriteLog::FinishStackWrite
     3.02%  sqgi     sqgi                     [.] SQTable::Get
     2.98%  sqgi     sqgi                     [.] sqjit_write_log_ensure
     2.49%  sqgi     sqgi                     [.] sqjit_a64_helper_member_set_float_logged
     2.44%  sqgi     sqgi                     [.] sqjit_a64_helper_member_set_integer_logged
     2.21%  sqgi     sqgi                     [.] sqjit_a64_helper_member_set_reference_logged
     2.21%  sqgi     sqgi                     [.] sqjit_a64_helper_table_get_array_ptr
     1.42%  sqgi     sqgi                     [.] SQJitWriteLog::Contains
     1.06%  sqgi     sqgi                     [.] sqjit_a64_helper_table_get_float
     1.06%  sqgi     [JIT] tid 466206         [.] 0x0000ffff9bb8c600
     0.87%  sqgi     sqgi                     [.] sqjit_a64_helper_finish_stack_write
     0.86%  sqgi     sqgi                     [.] SQJitWriteLog::RecordArray
     0.85%  sqgi     sqgi                     [.] sqjit_a64_helper_array_ptr_set_integer_logged
     0.58%  sqgi     [JIT] tid 466206         [.] 0x0000ffff9bb8c2c8
     0.57%  sqgi     sqgi                     [.] sqjit_a64_helper_table_get_integer
     0.55%  sqgi     [JIT] tid 466206         [.] 0x0000ffff9bb8cd58
     0.51%  sqgi     [JIT] tid 466206         [.] 0x0000ffff9bb8cc28


#
# (Cannot load tips.txt file, please install perf!)
#
