# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 566  of event 'cycles:u'
# Event count (approx.): 2458695580
#
# Overhead  Command  Shared Object               Symbol                                        
# ........  .......  ..........................  ..............................................
#
    14.59%  sqgi     sqgi                        [.] SQVM::Execute
    13.61%  sqgi     sqgi                        [.] SQJitWriteLog::RecordMember
     5.89%  sqgi     sqgi                        [.] sqjit_a64_root_fallback_safe
     5.37%  sqgi     sqgi                        [.] SQTable::Get
     5.08%  sqgi     sqgi                        [.] sqjit_a64_helper_array_get_object
     4.38%  sqgi     sqgi                        [.] sqjit_a64_helper_member_set_integer_logged
     3.10%  sqgi     sqgi                        [.] sqjit_a64_borrow_member_ptr_value
     3.08%  sqgi     sqgi                        [.] SQJitWriteLog::CanRelease
     2.04%  sqgi     [JIT] tid 617337            [.] 0x0000ffff8edf72dc
     1.97%  sqgi     [JIT] tid 617337            [.] 0x0000ffff8edf4214
     1.86%  sqgi     sqgi                        [.] sqjit_try_execute_current_loop
     1.85%  sqgi     sqgi                        [.] SQVM::DerefInc
     1.48%  sqgi     sqgi                        [.] SQTable::Set
     1.48%  sqgi     [JIT] tid 617337            [.] 0x0000ffff8edf41a0
     1.30%  sqgi     sqgi                        [.] SQVM::ObjCmp
     1.28%  sqgi     [JIT] tid 617337            [.] 0x0000ffff8edf465c
     1.26%  sqgi     sqgi                        [.] sqjit_a64_helper_member_closure_guard
     1.25%  sqgi     [JIT] tid 617337            [.] 0x0000ffff8edf41f8
     1.11%  sqgi     [JIT] tid 617337            [.] 0x0000ffff8edf6264
     1.11%  sqgi     sqgi                        [.] SQVM::ARITH_OP
     1.03%  sqgi     [JIT] tid 617337            [.] 0x0000ffff8edf71d4
     0.92%  sqgi     [JIT] tid 617337            [.] 0x0000ffff8edf72b0
     0.90%  sqgi     [JIT] tid 617337            [.] 0x0000ffff8edf42f0
     0.90%  sqgi     [JIT] tid 617337            [.] 0x0000ffff8edf43b0
     0.86%  sqgi     [JIT] tid 617337            [.] 0x0000ffff8edf7220
     0.74%  sqgi     [JIT] tid 617337            [.] 0x0000ffff8edf44c0
     0.74%  sqgi     [JIT] tid 617337            [.] 0x0000ffff8edf71f4
     0.74%  sqgi     sqgi                        [.] SQVM::Get
     0.72%  sqgi     sqgi                        [.] SQJitWriteLog::Bucket
     0.56%  sqgi     sqgi                        [.] SQVM::Set
     0.56%  sqgi     [JIT] tid 617337            [.] 0x0000ffff8edf6380
     0.56%  sqgi     [JIT] tid 617337            [.] 0x0000ffff8edf535c
     0.56%  sqgi     [JIT] tid 617337            [.] 0x0000ffff8edf4224


#
# (Cannot load tips.txt file, please install perf!)
#
