# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 344  of event 'cycles:u'
# Event count (approx.): 1445526314
#
# Overhead  Command  Shared Object          Symbol                                          
# ........  .......  .....................  ................................................
#
    16.16%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
    10.08%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     2.20%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698c190
     2.20%  sqgi     [JIT] tid 617624       [.] 0x0000ffff86b9341c
     1.89%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698f684
     1.58%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698b1d4
     1.58%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698d2f8
     1.58%  sqgi     [JIT] tid 617624       [.] 0x0000ffff86b93430
     1.26%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698e29c
     1.26%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698f8a8
     1.26%  sqgi     sqgi                   [.] sqjit_a64_helper_member_native_closure_guard
     1.26%  sqgi     [JIT] tid 617624       [.] 0x0000ffff86b934f0
     1.26%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698f730
     1.26%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698b1e8
     1.26%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698f754
     1.26%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698f5b8
     1.26%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698b254
     1.26%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698f8b8
     1.26%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698e284
     1.26%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698f394
     1.19%  sqgi     [JIT] tid 617624       [.] 0x0000ffff86b941bc
     0.95%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698f50c
     0.95%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698b240
     0.95%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698d210
     0.95%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698f45c
     0.95%  sqgi     [JIT] tid 617624       [.] 0x0000ffff86b934cc
     0.95%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698f36c
     0.95%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698f698
     0.95%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698e2dc
     0.94%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698c1c8
     0.94%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698d24c
     0.85%  sqgi     [JIT] tid 617624       [.] 0x0000ffff86b941d4
     0.69%  sqgi     [JIT] tid 617624       [.] 0x0000ffff86b941ac
     0.63%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698f520
     0.63%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698f7ec
     0.63%  sqgi     [JIT] tid 617624       [.] 0x0000ffff86b9335c
     0.63%  sqgi     [JIT] tid 617624       [.] 0x0000ffff86b9334c
     0.63%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698e2b0
     0.63%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698f810
     0.63%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698f5ac
     0.63%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698f74c
     0.63%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698f3a8
     0.63%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698d1f4
     0.63%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698f464
     0.63%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698f894
     0.63%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698b1f0
     0.63%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698d304
     0.63%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698f658
     0.63%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698d2e8
     0.63%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698c288
     0.63%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698e26c
     0.63%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698e2c8
     0.63%  sqgi     [JIT] tid 617624       [.] 0x0000ffff86b932b0
     0.63%  sqgi     [JIT] tid 617624       [.] 0x0000ffff8698d188
     0.62%  sqgi     [JIT] tid 617624       [.] 0x0000ffff86b9348c
     0.55%  sqgi     [JIT] tid 617624       [.] 0x0000ffff86b941e0
     0.52%  sqgi     [JIT] tid 617624       [.] 0x0000ffff86b941e8


#
# (Cannot load tips.txt file, please install perf!)
#
