# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11291783590
#
# Overhead  Command  Shared Object          Symbol                                                                                                                                       
# ........  .......  .....................  .............................................................................................................................................
#
    20.05%  sqgi     sqgi                   [.] SQVM::Execute
     5.01%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     2.79%  sqgi     [JIT] tid 617264       [.] 0x0000ffff85094230
     2.71%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     2.54%  sqgi     [JIT] tid 617264       [.] 0x0000ffff850971c0
     2.51%  sqgi     [JIT] tid 617264       [.] 0x0000ffff850951b4
     2.31%  sqgi     [JIT] tid 617264       [.] 0x0000ffff85096268
     2.16%  sqgi     [JIT] tid 617264       [.] 0x0000ffff85097240
     2.13%  sqgi     sqgi                   [.] SQTable::Get
     2.04%  sqgi     [JIT] tid 617264       [.] 0x0000ffff850971d4
     1.90%  sqgi     [JIT] tid 617264       [.] 0x0000ffff850951a0
     1.86%  sqgi     [JIT] tid 617264       [.] 0x0000ffff850941c0
     1.62%  sqgi     [JIT] tid 617264       [.] 0x0000ffff850961ac
     1.41%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.34%  sqgi     [JIT] tid 617264       [.] 0x0000ffff85094244
     1.33%  sqgi     [JIT] tid 617264       [.] 0x0000ffff850961c0
     1.13%  sqgi     [JIT] tid 617264       [.] 0x0000ffff85096270
     1.09%  sqgi     [JIT] tid 617264       [.] 0x0000ffff85096254
     1.05%  sqgi     libm.so.6              [.] pow@@GLIBC_2.29
     1.01%  sqgi     [JIT] tid 617264       [.] 0x0000ffff85096238
     1.00%  sqgi     [JIT] tid 617264       [.] 0x0000ffff85097210
     0.97%  sqgi     [JIT] tid 617264       [.] 0x0000ffff8509722c
     0.97%  sqgi     [JIT] tid 617264       [.] 0x0000ffff850951bc
     0.93%  sqgi     [JIT] tid 617264       [.] 0x0000ffff85094258
     0.81%  sqgi     [JIT] tid 617264       [.] 0x0000ffff85094274
     0.79%  sqgi     [JIT] tid 617264       [.] 0x0000ffff850971f8
     0.73%  sqgi     [JIT] tid 617264       [.] 0x0000ffff850971fc
     0.72%  sqgi     sqgi                   [.] SQJitWriteLog::RecordArray
     0.69%  sqgi     sqgi                   [.] sqjit_a64_helper_member_native_closure_guard
     0.56%  sqgi     [JIT] tid 617264       [.] 0x0000ffff85097248


#
# (Cannot load tips.txt file, please install perf!)
#
