# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 5941634785
#
# Overhead  Command  Shared Object          Symbol                                         
# ........  .......  .....................  ...............................................
#
    58.33%  sqgi     sqgi                   [.] SQVM::Execute
     4.30%  sqgi     sqgi                   [.] SQTable::Get
     3.83%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     2.67%  sqgi     sqgi                   [.] sqjit_try_execute_current
     2.52%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.30%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     1.92%  sqgi     sqgi                   [.] SQVM::ObjCmp
     1.92%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.46%  sqgi     sqgi                   [.] SQVM::Return
     1.23%  sqgi     sqgi                   [.] sqjit_try_execute_closure
     1.07%  sqgi     sqgi                   [.] SQVM::StartCall
     1.07%  sqgi     sqgi                   [.] SQVM::LeaveFrame
     0.92%  sqgi     sqgi                   [.] SQVM::IsFalse
     0.84%  sqgi     sqgi                   [.] SQVM::CMP_OP
     0.77%  sqgi     sqgi                   [.] SQJitWriteLog::RecordArray
     0.69%  sqgi     sqgi                   [.] sqjit_on_function_enter
     0.61%  sqgi     sqgi                   [.] SQVM::Get
     0.61%  sqgi     sqgi                   [.] sqjit_context
     0.54%  sqgi     [JIT] tid 617387       [.] 0x0000ffff9cdd33c8
     0.54%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.54%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease


#
# (Cannot load tips.txt file, please install perf!)
#
