# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 8038949106
#
# Overhead  Command  Shared Object          Symbol                                         
# ........  .......  .....................  ...............................................
#
    47.34%  sqgi     sqgi                   [.] SQVM::Execute
     9.03%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     5.00%  sqgi     sqgi                   [.] sqjit_try_execute_current
     2.90%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.87%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     2.39%  sqgi     sqgi                   [.] SQVM::LeaveFrame
     2.27%  sqgi     sqgi                   [.] SQVM::Return
     2.16%  sqgi     sqgi                   [.] SQVM::StartCall
     1.73%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     1.65%  sqgi     sqgi                   [.] sqjit_try_execute_closure
     1.59%  sqgi     sqgi                   [.] SQVM::ObjCmp
     1.53%  sqgi     sqgi                   [.] SQJitWriteLog::CanReleaseInContext
     1.48%  sqgi     sqgi                   [.] sqjit_on_function_enter
     1.25%  sqgi     sqgi                   [.] SQVM::IsFalse
     1.05%  sqgi     sqgi                   [.] sqjit_native_call_fits_stack
     0.96%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     0.93%  sqgi     sqgi                   [.] sqjit_context
     0.91%  sqgi     sqgi                   [.] sqjit_loop_header_is_rejected
     0.85%  sqgi     sqgi                   [.] SQVM::CMP_OP
     0.62%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.57%  sqgi     sqgi                   [.] sqjit_native_precheck
     0.57%  sqgi     sqgi                   [.] SQObjectPtr::operator=
     0.56%  sqgi     sqgi                   [.] SQVM::EnterFrame


#
# (Cannot load tips.txt file, please install perf!)
#
