# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 4554639276
#
# Overhead  Command  Shared Object          Symbol                                         
# ........  .......  .....................  ...............................................
#
    13.02%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     8.60%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     4.58%  sqgi     sqgi                   [.] SQJitWriteLog::CanReleaseInContext
     2.00%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb5498
     1.70%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb536c
     1.69%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb54e4
     1.40%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb66c0
     1.30%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb61e8
     1.16%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb6124
     1.10%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb576c
     1.10%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb6340
     1.07%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb6a80
     1.00%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb6130
     1.00%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb61d4
     1.00%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb5248
     0.90%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb5ec8
     0.90%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb58ec
     0.90%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb55f4
     0.80%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb611c
     0.80%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb54a8
     0.80%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb63c0
     0.80%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb5750
     0.80%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb65e4
     0.80%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb61cc
     0.80%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb5c14
     0.80%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb58dc
     0.80%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb6ad4
     0.80%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb5c08
     0.70%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb6490
     0.70%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb52b0
     0.70%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb59a0
     0.70%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb553c
     0.70%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb59b8
     0.66%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb6350
     0.60%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb5258
     0.60%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb52dc
     0.60%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb541c
     0.60%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb6a2c
     0.60%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb60c8
     0.60%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb6224
     0.60%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb63d0
     0.60%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb5254
     0.60%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb5870
     0.59%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb54f4
     0.50%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb64a0
     0.50%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb68b4
     0.50%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb5c1c
     0.50%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb6090
     0.50%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb6188
     0.50%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb69f4
     0.50%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb59d8
     0.50%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb69c0
     0.50%  sqgi     [JIT] tid 617465       [.] 0x0000ffffb6fb61d8


#
# (Cannot load tips.txt file, please install perf!)
#
