# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 222  of event 'cycles:u'
# Event count (approx.): 883208383
#
# Overhead  Command  Shared Object                 Symbol                                                
# ........  .......  ............................  ......................................................
#
    15.70%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
    12.86%  sqgi     sqgi                          [.] SQJitWriteLog::RecordMember
    12.39%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     9.81%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_integer_logged
     6.70%  sqgi     sqgi                          [.] sqjit_a64_resolve_root_store_slot
     6.20%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_reference_logged
     5.51%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     4.37%  sqgi     sqgi                          [.] sqjit_a64_helper_instance_field_set_integer_logged
     2.58%  sqgi     [JIT] tid 617363              [.] 0x0000ffff979151d8
     2.07%  sqgi     [JIT] tid 617363              [.] 0x0000ffff97913190
     1.55%  sqgi     [JIT] tid 617363              [.] 0x0000ffff9791418c
     1.03%  sqgi     [JIT] tid 617363              [.] 0x0000ffff97913200
     1.03%  sqgi     sqgi                          [.] SQJitWriteLog::OwnerBucket
     1.03%  sqgi     [JIT] tid 617363              [.] 0x0000ffff979141e0
     1.03%  sqgi     [JIT] tid 617363              [.] 0x0000ffff979131bc
     1.02%  sqgi     sqgi                          [.] sqjit_write_log_ensure
     0.56%  sqgi     ld-linux-aarch64.so.1         [.] do_lookup_x
     0.52%  sqgi     [JIT] tid 617363              [.] 0x0000ffff9791413c
     0.52%  sqgi     [JIT] tid 617363              [.] 0x0000ffff979141a0
     0.52%  sqgi     [JIT] tid 617363              [.] 0x0000ffff9791425c
     0.52%  sqgi     [JIT] tid 617363              [.] 0x0000ffff979131e0
     0.52%  sqgi     [JIT] tid 617363              [.] 0x0000ffff97913208
     0.52%  sqgi     [JIT] tid 617363              [.] 0x0000ffff97914250
     0.52%  sqgi     [JIT] tid 617363              [.] 0x0000ffff97913220
     0.52%  sqgi     [JIT] tid 617363              [.] 0x0000ffff97914280
     0.52%  sqgi     [JIT] tid 617363              [.] 0x0000ffff9791520c
     0.52%  sqgi     sqgi                          [.] SQDelegable::SetDelegate
     0.52%  sqgi     libc.so.6                     [.] unlink_chunk.isra.0
     0.52%  sqgi     [JIT] tid 617363              [.] 0x0000ffff97914234
     0.52%  sqgi     [JIT] tid 617363              [.] 0x0000ffff979151ac
     0.52%  sqgi     [JIT] tid 617363              [.] 0x0000ffff97914194
     0.52%  sqgi     [JIT] tid 617363              [.] 0x0000ffff97914154
     0.52%  sqgi     [JIT] tid 617363              [.] 0x0000ffff97915224
     0.52%  sqgi     [JIT] tid 617363              [.] 0x0000ffff97914254
     0.52%  sqgi     [JIT] tid 617363              [.] 0x0000ffff97914268
     0.52%  sqgi     [JIT] tid 617363              [.] 0x0000ffff979161ec
     0.52%  sqgi     [JIT] tid 617363              [.] 0x0000ffff9791523c
     0.51%  sqgi     [JIT] tid 617363              [.] 0x0000ffff979151fc
     0.51%  sqgi     [JIT] tid 617363              [.] 0x0000ffff97916210
     0.50%  sqgi     [JIT] tid 617363              [.] 0x0000ffff97916250


#
# (Cannot load tips.txt file, please install perf!)
#
