# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 546  of event 'cycles:u'
# Event count (approx.): 2390699283
#
# Overhead  Command  Shared Object               Symbol                                                                                                                                                                                                 
# ........  .......  ..........................  .......................................................................................................................................................................................................
#
    15.83%  sqgi     sqgi                        [.] SQVM::Execute
    13.06%  sqgi     sqgi                        [.] SQJitWriteLog::RecordMember
     5.37%  sqgi     sqgi                        [.] sqjit_a64_root_fallback_safe
     5.03%  sqgi     sqgi                        [.] sqjit_a64_helper_array_get_object
     4.85%  sqgi     sqgi                        [.] sqjit_a64_helper_member_set_integer_logged
     4.38%  sqgi     sqgi                        [.] SQTable::Get
     3.35%  sqgi     sqgi                        [.] sqjit_a64_borrow_member_ptr_value
     3.23%  sqgi     sqgi                        [.] SQJitWriteLog::CanRelease
     2.67%  sqgi     sqgi                        [.] SQVM::DerefInc
     1.91%  sqgi     sqgi                        [.] sqjit_try_execute_current_loop
     1.84%  sqgi     [JIT] tid 711118            [.] 0x0000ffffa61472dc
     1.70%  sqgi     [JIT] tid 711118            [.] 0x0000ffffa61471d4
     1.44%  sqgi     [JIT] tid 711118            [.] 0x0000ffffa6144214
     1.32%  sqgi     [JIT] tid 711118            [.] 0x0000ffffa61443b0
     1.31%  sqgi     [JIT] tid 711118            [.] 0x0000ffffa6144384
     1.14%  sqgi     sqgi                        [.] SQVM::FallBackGet
     1.12%  sqgi     [JIT] tid 711118            [.] 0x0000ffffa61441a0
     0.95%  sqgi     sqgi                        [.] SQVM::Set
     0.95%  sqgi     [JIT] tid 711118            [.] 0x0000ffffa61472c8
     0.76%  sqgi     sqgi                        [.] SQTable::Set
     0.76%  sqgi     sqgi                        [.] SQVM::Get
     0.76%  sqgi     sqgi                        [.] SQVM::CMP_OP
     0.76%  sqgi     [JIT] tid 711118            [.] 0x0000ffffa614465c
     0.76%  sqgi     sqgi                        [.] SQVM::IsFalse
     0.76%  sqgi     [JIT] tid 711118            [.] 0x0000ffffa614535c
     0.76%  sqgi     [JIT] tid 711118            [.] 0x0000ffffa6147238
     0.76%  sqgi     [JIT] tid 711118            [.] 0x0000ffffa614416c
     0.74%  sqgi     [JIT] tid 711118            [.] 0x0000ffffa614417c
     0.70%  sqgi     sqgi                        [.] sqjit_a64_helper_member_closure_guard
     0.57%  sqgi     [JIT] tid 711118            [.] 0x0000ffffa61452c0
     0.57%  sqgi     [JIT] tid 711118            [.] 0x0000ffffa6146264
     0.57%  sqgi     [JIT] tid 711118            [.] 0x0000ffffa6146354
     0.57%  sqgi     [JIT] tid 711118            [.] 0x0000ffffa6147220
     0.57%  sqgi     [JIT] tid 711118            [.] 0x0000ffffa614441c
     0.57%  sqgi     [JIT] tid 711118            [.] 0x0000ffffa61441f8
     0.57%  sqgi     [JIT] tid 711118            [.] 0x0000ffffa614469c
     0.55%  sqgi     [JIT] tid 711118            [.] 0x0000ffffa61442f0
     0.50%  sqgi     libc.so.6                   [.] _int_malloc
     0.50%  sqgi     [JIT] tid 711118            [.] 0x0000ffffa61472b0


#
# (Cannot load tips.txt file, please install perf!)
#
