# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 195  of event 'cycles:u'
# Event count (approx.): 743414557
#
# Overhead  Command  Shared Object                 Symbol                             
# ........  .......  ............................  ...................................
#
     8.60%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62990c
     6.76%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f629838
     6.74%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f625164
     6.13%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f629414
     5.52%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f6262a0
     4.92%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f629764
     4.91%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f6281e4
     4.30%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f629690
     4.24%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62a244
     4.22%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62b164
     3.68%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f627198
     2.46%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f6295bc
     2.46%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f6294e8
     2.45%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f6271ec
     1.81%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62a53c
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62994c
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f6297c4
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f629528
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f629858
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f6296f0
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f629454
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62730c
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62a3f4
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f6282d8
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f6297e4
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62a44c
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f627148
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f628188
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62a460
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62a320
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f6282c0
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f6298b8
     0.61%  sqgi     libc.so.6                     [.] __printf_fp_buffer_1.isra.0
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f627190
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f6251c4
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f628308
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62a554
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f626164
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f626284
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f627328
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62724c
     0.61%  sqgi     sqgi                          [.] SQTable::Release
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62a38c
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62a538
     0.61%  sqgi     sqgi                          [.] sqjit_a64_compile_integer_proto
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62a470
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f627318
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62527c
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f628244
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f626298
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62a464
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62726c
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f628224
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62a4c4
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f6282a0
     0.61%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62a55c
     0.60%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62a4cc
     0.60%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62a540
     0.59%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62a3a0
     0.59%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62a390
     0.55%  sqgi     [JIT] tid 711353              [.] 0x0000ffff8f62b1c0


#
# (Cannot load tips.txt file, please install perf!)
#
