# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 9757890399
#
# Overhead  Command  Shared Object          Symbol                                           
# ........  .......  .....................  .................................................
#
    23.07%  sqgi     sqgi                   [.] SQVM::Execute
    10.19%  sqgi     [JIT] tid 711019       [.] 0x0000ffffab564164
     6.56%  sqgi     [JIT] tid 711019       [.] 0x0000ffffab563164
     4.82%  sqgi     [JIT] tid 711019       [.] 0x0000ffffab562164
     3.65%  sqgi     [JIT] tid 711019       [.] 0x0000ffffab561230
     2.99%  sqgi     sqgi                   [.] SQTable::Get
     1.69%  sqgi     [JIT] tid 711019       [.] 0x0000ffffab5611c0
     1.68%  sqgi     [JIT] tid 711019       [.] 0x0000ffffab561244
     1.45%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.03%  sqgi     [JIT] tid 711019       [.] 0x0000ffffab561258
     1.03%  sqgi     [JIT] tid 711019       [.] 0x0000ffffab561274
     0.98%  sqgi     libm.so.6              [.] pow@@GLIBC_2.29
     0.84%  sqgi     [JIT] tid 711019       [.] 0x0000ffffab566264
     0.75%  sqgi     [JIT] tid 711019       [.] 0x0000ffffab56323c
     0.65%  sqgi     sqgi                   [.] SQJitWriteLog::RecordArray
     0.61%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     0.61%  sqgi     [JIT] tid 711019       [.] 0x0000ffffab5662e0
     0.61%  sqgi     [JIT] tid 711019       [.] 0x0000ffffab567244
     0.56%  sqgi     libm.so.6              [.] __atan2_finite@GLIBC_2.17
     0.56%  sqgi     libm.so.6              [.] __sin
     0.51%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value


#
# (Cannot load tips.txt file, please install perf!)
#
