# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 5588372426
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    22.13%  sqgi     sqgi                          [.] SQVM::Execute
     8.33%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     4.98%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     4.00%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     3.51%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     2.51%  sqgi     sqgi                          [.] sqjit_try_execute_current
     2.37%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     2.21%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)8, false>
     2.12%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.88%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     1.55%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     1.47%  sqgi     sqgi                          [.] sqjit_number_conversion_guard
     1.39%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     1.39%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)6, false>
     1.39%  sqgi     sqgi                          [.] SQVM::StartCall
     1.39%  sqgi     sqgi                          [.] SQVM::IsFalse
     1.31%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     1.06%  sqgi     sqgi                          [.] SQVM::CMP_OP
     1.06%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     1.06%  sqgi     sqgi                          [.] sqjit_try_execute_closure
     0.98%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)21, false>
     0.98%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)29, false>
     0.98%  sqgi     sqgi                          [.] SQTable::Get
     0.90%  sqgi     sqgi                          [.] SQVM::Return
     0.82%  sqgi     sqgi                          [.] sqjit_a64_helper_array_set_float_logged
     0.74%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     0.73%  sqgi     [JIT] tid 711181              [.] 0x0000ffff80ced2f8
     0.65%  sqgi     [JIT] tid 711181              [.] 0x0000ffff80ced6b4
     0.57%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)2, false>
     0.57%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)23, false>


#
# (Cannot load tips.txt file, please install perf!)
#
