# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 7504761334
#
# Overhead  Command  Shared Object          Symbol                                         
# ........  .......  .....................  ...............................................
#
    48.88%  sqgi     sqgi                   [.] SQVM::Execute
     5.23%  sqgi     sqgi                   [.] sqjit_try_execute_current
     3.53%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     3.08%  sqgi     sqgi                   [.] SQVM::LeaveFrame
     3.04%  sqgi     sqgi                   [.] sqjit_try_execute_closure
     2.61%  sqgi     sqgi                   [.] SQVM::StartCall
     2.31%  sqgi     sqgi                   [.] SQVM::Return
     1.88%  sqgi     sqgi                   [.] SQVM::ObjCmp
     1.34%  sqgi     sqgi                   [.] sqjit_on_function_enter
     1.22%  sqgi     sqgi                   [.] SQVM::IsFalse
     1.15%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     1.09%  sqgi     sqgi                   [.] sqjit_native_call_fits_stack
     1.03%  sqgi     [JIT] tid 711329       [.] 0x0000ffffbbdd8728
     1.03%  sqgi     sqgi                   [.] sqjit_loop_header_is_rejected
     0.97%  sqgi     sqgi                   [.] SQVM::CMP_OP
     0.79%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.73%  sqgi     sqgi                   [.] sqjit_proto_backoff_active
     0.67%  sqgi     libc.so.6              [.] __memset_zva64
     0.67%  sqgi     sqgi                   [.] SQVM::EnterFrame
     0.67%  sqgi     [JIT] tid 711329       [.] 0x0000ffffbbdd7168
     0.61%  sqgi     [JIT] tid 711329       [.] 0x0000ffffbbdd73b4
     0.61%  sqgi     sqgi                   [.] sqjit_context
     0.55%  sqgi     [JIT] tid 711329       [.] 0x0000ffffbbdd82b0
     0.55%  sqgi     [JIT] tid 711329       [.] 0x0000ffffbbdd75fc


#
# (Cannot load tips.txt file, please install perf!)
#
