# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 877  of event 'cycles:u'
# Event count (approx.): 3959097564
#
# Overhead  Command  Shared Object                 Symbol                                        
# ........  .......  ............................  ..............................................
#
    14.03%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     2.77%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     2.16%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de96c0
     1.96%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de8498
     1.73%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de84e4
     1.61%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de93c0
     1.58%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de9aac
     1.47%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de911c
     1.27%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de9204
     1.27%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de8750
     1.15%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de84f4
     1.15%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de99c0
     1.04%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de9228
     1.04%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de876c
     1.04%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de8674
     1.04%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de8494
     1.04%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de9124
     1.03%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de853c
     0.92%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de91e8
     0.92%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de9340
     0.92%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de817c
     0.92%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de88ec
     0.92%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de94bc
     0.90%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de8c7c
     0.81%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de8258
     0.81%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de8c80
     0.81%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de8c1c
     0.81%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de9490
     0.79%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de948c
     0.69%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de91d8
     0.69%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de91cc
     0.69%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de8268
     0.69%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de836c
     0.69%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de8330
     0.69%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de93d0
     0.69%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de8c14
     0.69%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de88dc
     0.69%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de85f4
     0.69%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de82dc
     0.66%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de86bc
     0.58%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de9828
     0.58%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de943c
     0.58%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de90cc
     0.58%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de84a8
     0.58%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de841c
     0.58%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de82b0
     0.58%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de97bc
     0.58%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de8e14
     0.58%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de9ab4
     0.58%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de818c
     0.58%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de9090
     0.58%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de95e4
     0.58%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de99f4
     0.58%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de8bf4
     0.58%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de9a80
     0.58%  sqgi     [JIT] tid 711268              [.] 0x0000ffff95de9350


#
# (Cannot load tips.txt file, please install perf!)
#
