# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 221  of event 'cycles:u'
# Event count (approx.): 876669889
#
# Overhead  Command  Shared Object          Symbol                                                
# ........  .......  .....................  ......................................................
#
    14.52%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
    13.00%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_integer_logged
    12.78%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     6.76%  sqgi     sqgi                   [.] sqjit_a64_resolve_root_store_slot
     6.57%  sqgi     sqgi                   [.] SQJitWriteLog::RecordMember
     5.65%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     5.36%  sqgi     sqgi                   [.] sqjit_a64_helper_instance_field_set_integer_logged
     5.20%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_reference_logged
     3.64%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5c1c0
     2.08%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5e1dc
     1.86%  sqgi     sqgi                   [.] sqjit_write_log_ensure
     1.56%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5d18c
     1.56%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5c194
     1.56%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5e228
     1.55%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5d240
     1.39%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5f214
     1.04%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5d154
     1.04%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5d250
     1.03%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5f210
     0.52%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5d100
     0.52%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5d268
     0.52%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5d1ac
     0.52%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5d1e0
     0.52%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5d1bc
     0.52%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5e200
     0.52%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5d194
     0.52%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5e1d0
     0.52%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5f124
     0.52%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5d280
     0.52%  sqgi     sqgi                   [.] __cxa_finalize@plt
     0.52%  sqgi     sqgi                   [.] SQJitWriteLog::OwnerBucket
     0.52%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5f254
     0.52%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5d25c
     0.52%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5f15c
     0.52%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5c120
     0.52%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5d13c
     0.52%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5c224
     0.51%  sqgi     [JIT] tid 711158       [.] 0x0000ffff97b5f1f0


#
# (Cannot load tips.txt file, please install perf!)
#
