# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 891  of event 'cycles:u'
# Event count (approx.): 3296325730
#
# Overhead  Command  Shared Object          Symbol                                       
# ........  .......  .....................  .............................................
#
    10.97%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
    10.08%  sqgi     sqgi                   [.] SQJitWriteLog::RecordStackSlot
     9.68%  sqgi     sqgi                   [.] SQJitWriteLog::FinishStackWrite
     7.34%  sqgi     sqgi                   [.] sqjit_a64_helper_array_ptr_append_integer
     7.08%  sqgi     sqgi                   [.] SQJitWriteLog::PublishStackWrite
     5.86%  sqgi     sqgi                   [.] sqjit_a64_helper_array_ptr_get_object_raw
     5.74%  sqgi     sqgi                   [.] SQJitWriteLog::CountPins
     4.63%  sqgi     [JIT] tid 679690       [.] 0x0000ffff9bfe836c
     4.49%  sqgi     sqgi                   [.] SQJitWriteLog::RetainValue
     4.38%  sqgi     sqgi                   [.] sqjit_a64_helper_finish_stack_write
     4.24%  sqgi     [JIT] tid 679690       [.] 0x0000ffff9bfe83e8
     3.64%  sqgi     sqgi                   [.] sqjit_write_log_ensure
     3.26%  sqgi     sqgi                   [.] sqjit_a64_helper_publish_stack_write
     2.76%  sqgi     [JIT] tid 679690       [.] 0x0000ffff9bfe8400
     2.50%  sqgi     [JIT] tid 679690       [.] 0x0000ffff9bfe8194
     1.70%  sqgi     sqgi                   [.] SQJitWriteLog::BeginStackWrite
     1.67%  sqgi     sqgi                   [.] SQArray::Release
     1.34%  sqgi     [JIT] tid 679690       [.] 0x0000ffff9bfe839c
     1.11%  sqgi     sqgi                   [.] sqjit_a64_helper_begin_stack_write
     0.82%  sqgi     [unknown]              [k] 0xffff8000080188fc
     0.63%  sqgi     [JIT] tid 679690       [.] 0x0000ffff9bfe813c
     0.46%  sqgi     [JIT] tid 679690       [.] 0x0000ffff9bfe8190
     0.42%  sqgi     [JIT] tid 679690       [.] 0x0000ffff9bfe8280
     0.42%  sqgi     [JIT] tid 679690       [.] 0x0000ffff9bfe838c
     0.39%  sqgi     [JIT] tid 679690       [.] 0x0000ffff9bfe81b8
     0.38%  sqgi     [JIT] tid 679690       [.] 0x0000ffff9bfe82cc
     0.29%  sqgi     [JIT] tid 679690       [.] 0x0000ffff9bfe80f8
     0.28%  sqgi     [JIT] tid 679690       [.] 0x0000ffff9bfe82b8
     0.27%  sqgi     [JIT] tid 679690       [.] 0x0000ffff9bfe8454


#
# (Cannot load tips.txt file, please install perf!)
#
