# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 649  of event 'cycles:u'
# Event count (approx.): 2302775246
#
# Overhead  Command  Shared Object          Symbol                                       
# ........  .......  .....................  .............................................
#
    13.37%  sqgi     sqgi                   [.] SQJitWriteLog::FinishStackWrite
    10.50%  sqgi     sqgi                   [.] sqjit_a64_helper_array_ptr_append_integer
    10.44%  sqgi     sqgi                   [.] SQJitWriteLog::RecordStackSlot
     8.60%  sqgi     sqgi                   [.] sqjit_a64_helper_array_ptr_get_object_raw
     7.79%  sqgi     sqgi                   [.] sqjit_a64_helper_finish_stack_write
     5.73%  sqgi     [JIT] tid 679717       [.] 0x0000ffffaa35f384
     5.56%  sqgi     [JIT] tid 679717       [.] 0x0000ffffaa35f1ac
     4.82%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     4.65%  sqgi     [JIT] tid 679717       [.] 0x0000ffffaa35f418
     3.79%  sqgi     [JIT] tid 679717       [.] 0x0000ffffaa35f400
     3.30%  sqgi     sqgi                   [.] sqjit_write_log_ensure
     2.78%  sqgi     sqgi                   [.] SQArray::Release
     2.44%  sqgi     sqgi                   [.] SQJitWriteLog::BeginStackWrite
     2.11%  sqgi     sqgi                   [.] SQJitWriteLog::RetainValue
     2.08%  sqgi     [JIT] tid 679717       [.] 0x0000ffffaa35f3b4
     1.69%  sqgi     [unknown]              [k] 0xffff8000080188fc
     1.26%  sqgi     [JIT] tid 679717       [.] 0x0000ffffaa35f0f8
     1.07%  sqgi     [JIT] tid 679717       [.] 0x0000ffffaa35f108
     0.94%  sqgi     [JIT] tid 679717       [.] 0x0000ffffaa35f0ec
     0.80%  sqgi     [JIT] tid 679717       [.] 0x0000ffffaa35f274
     0.60%  sqgi     [JIT] tid 679717       [.] 0x0000ffffaa35f3a4
     0.58%  sqgi     [JIT] tid 679717       [.] 0x0000ffffaa35f29c
     0.58%  sqgi     sqgi                   [.] sqjit_a64_helper_begin_stack_write
     0.53%  sqgi     [JIT] tid 679717       [.] 0x0000ffffaa35f14c
     0.40%  sqgi     [JIT] tid 679717       [.] 0x0000ffffaa35f46c
     0.40%  sqgi     [JIT] tid 679717       [.] 0x0000ffffaa35f328
     0.39%  sqgi     [JIT] tid 679717       [.] 0x0000ffffaa35f2f0
     0.32%  sqgi     [JIT] tid 679717       [.] 0x0000ffffaa35f190


#
# (Cannot load tips.txt file, please install perf!)
#
