# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 550  of event 'cycles:u'
# Event count (approx.): 2392538052
#
# Overhead  Command  Shared Object          Symbol                                        
# ........  .......  .....................  ..............................................
#
    17.18%  sqgi     sqgi                   [.] SQVM::Execute
    14.30%  sqgi     sqgi                   [.] SQJitWriteLog::RecordMember
     5.49%  sqgi     sqgi                   [.] sqjit_a64_root_fallback_safe
     5.06%  sqgi     sqgi                   [.] sqjit_a64_helper_array_get_object
     4.85%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_integer_logged
     4.77%  sqgi     sqgi                   [.] SQTable::Get
     3.55%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     2.46%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     1.45%  sqgi     [JIT] tid 686286       [.] 0x0000ffff7fd84214
     1.14%  sqgi     sqgi                   [.] SQTable::Set
     1.14%  sqgi     sqgi                   [.] SQVM::Get
     1.14%  sqgi     sqgi                   [.] SQVM::CMP_OP
     1.14%  sqgi     [JIT] tid 686286       [.] 0x0000ffff7fd871d4
     0.95%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     0.95%  sqgi     [JIT] tid 686286       [.] 0x0000ffff7fd843b0
     0.95%  sqgi     sqgi                   [.] SQVM::Set
     0.92%  sqgi     [JIT] tid 686286       [.] 0x0000ffff7fd872dc
     0.76%  sqgi     sqgi                   [.] SQVM::DerefInc
     0.76%  sqgi     sqgi                   [.] SQVM::ObjCmp
     0.76%  sqgi     [JIT] tid 686286       [.] 0x0000ffff7fd86380
     0.76%  sqgi     [JIT] tid 686286       [.] 0x0000ffff7fd852cc
     0.76%  sqgi     [JIT] tid 686286       [.] 0x0000ffff7fd872b0
     0.76%  sqgi     [JIT] tid 686286       [.] 0x0000ffff7fd8535c
     0.76%  sqgi     [JIT] tid 686286       [.] 0x0000ffff7fd8465c
     0.76%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     0.74%  sqgi     [JIT] tid 686286       [.] 0x0000ffff7fd841a0
     0.57%  sqgi     [JIT] tid 686286       [.] 0x0000ffff7fd8417c
     0.57%  sqgi     sqgi                   [.] SQVM::FallBackGet
     0.57%  sqgi     [JIT] tid 686286       [.] 0x0000ffff7fd8532c
     0.57%  sqgi     sqgi                   [.] SQVM::ARITH_OP
     0.57%  sqgi     [JIT] tid 686286       [.] 0x0000ffff7fd844c0
     0.57%  sqgi     [JIT] tid 686286       [.] 0x0000ffff7fd87204
     0.57%  sqgi     [JIT] tid 686286       [.] 0x0000ffff7fd872c8
     0.57%  sqgi     [JIT] tid 686286       [.] 0x0000ffff7fd87238
     0.57%  sqgi     [JIT] tid 686286       [.] 0x0000ffff7fd84384
     0.56%  sqgi     [JIT] tid 686286       [.] 0x0000ffff7fd842f0
     0.56%  sqgi     [JIT] tid 686286       [.] 0x0000ffff7fd8442c


#
# (Cannot load tips.txt file, please install perf!)
#
