# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 186  of event 'cycles:u'
# Event count (approx.): 746636997
#
# Overhead  Command  Shared Object            Symbol                                                                               
# ........  .......  .......................  .....................................................................................
#
     6.73%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c434e8
     6.12%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c43414
     5.50%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3e198
     5.49%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3c164
     5.25%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c45164
     4.89%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c435bc
     3.67%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c43764
     3.67%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3f1e4
     3.06%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c43838
     3.05%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3e1ec
     2.44%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3d2a0
     2.44%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c4390c
     1.84%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c43690
     1.84%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c43434
     1.83%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c44264
     1.83%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3f2d8
     1.81%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c44244
     1.22%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c437a4
     1.22%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c4340c
     1.22%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c4396c
     1.22%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c43858
     1.22%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3d1a0
     1.22%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3f194
     1.22%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3d164
     1.21%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c444c4
     1.20%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c4438c
     1.19%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c44540
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3f264
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c435fc
     0.61%  sqgi     sqgi                     [.] std::vector<SQBytecodeFacts, std::allocator<SQBytecodeFacts> >::_M_default_append
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c436d0
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c433ac
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c43454
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c438b8
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c43494
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c43508
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3e32c
     0.61%  sqgi     sqgi                     [.] SQNativeClosure::Release
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c443a4
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c44388
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3d274
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3e154
     0.61%  sqgi     libc.so.6                [.] pthread_setspecific@@GLIBC_2.34
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3c10c
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c441c8
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c444c0
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3c23c
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3f188
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c44450
     0.61%  sqgi     sqgi                     [.] native_sqrt
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3d184
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3e30c
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3c210
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3d294
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3c270
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c4439c
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c4442c
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3f280
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6a3f2c0
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c4447c
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c4361c
     0.61%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c441f4
     0.60%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c4453c
     0.60%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c44454
     0.59%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c4437c
     0.58%  sqgi     [JIT] tid 686433         [.] 0x0000ffffa6c44538


#
# (Cannot load tips.txt file, please install perf!)
#
