# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 9801633187
#
# Overhead  Command  Shared Object            Symbol                                           
# ........  .......  .......................  .................................................
#
    23.43%  sqgi     sqgi                     [.] SQVM::Execute
     9.77%  sqgi     [JIT] tid 686160         [.] 0x0000ffff9fb27164
     6.34%  sqgi     [JIT] tid 686160         [.] 0x0000ffff9fb26164
     4.71%  sqgi     [JIT] tid 686160         [.] 0x0000ffff9fb25164
     3.40%  sqgi     [JIT] tid 686160         [.] 0x0000ffff9fb24230
     2.61%  sqgi     sqgi                     [.] SQTable::Get
     1.77%  sqgi     [JIT] tid 686160         [.] 0x0000ffff9fb241c0
     1.73%  sqgi     [JIT] tid 686160         [.] 0x0000ffff9fb24244
     1.58%  sqgi     sqgi                     [.] sqjit_number_conversion_guard
     1.21%  sqgi     [JIT] tid 686160         [.] 0x0000ffff9fb24258
     0.93%  sqgi     [JIT] tid 686160         [.] 0x0000ffff9fb24274
     0.89%  sqgi     libm.so.6                [.] pow@@GLIBC_2.29
     0.84%  sqgi     [JIT] tid 686160         [.] 0x0000ffff9fb292e0
     0.79%  sqgi     [JIT] tid 686160         [.] 0x0000ffff9fb26200
     0.75%  sqgi     [JIT] tid 686160         [.] 0x0000ffff9fb29264
     0.75%  sqgi     [JIT] tid 686160         [.] 0x0000ffff9fb2a244
     0.75%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     0.70%  sqgi     sqgi                     [.] sqjit_a64_borrow_member_ptr_value
     0.65%  sqgi     sqgi                     [.] SQVM::LeaveFrame
     0.61%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     0.53%  sqgi     sqgi                     [.] SQJitWriteLog::CanRelease
     0.51%  sqgi     [JIT] tid 686160         [.] 0x0000ffff9fb29274


#
# (Cannot load tips.txt file, please install perf!)
#
