# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 5555054650
#
# Overhead  Command  Shared Object          Symbol                                         
# ........  .......  .....................  ...............................................
#
    21.72%  sqgi     sqgi                   [.] SQVM::Execute
     9.33%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     5.92%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     3.95%  sqgi     sqgi                   [.] SQJitWriteLog::CanReleaseInContext
     3.78%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     2.63%  sqgi     sqgi                   [.] sqjit_try_execute_current
     2.14%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)8, false>
     2.14%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     2.05%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)21, false>
     1.81%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     1.64%  sqgi     sqgi                   [.] SQVM::ObjCmp
     1.48%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     1.48%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     1.45%  sqgi     sqgi                   [.] SQVM::LeaveFrame
     1.32%  sqgi     sqgi                   [.] SQVM::IsFalse
     1.31%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.15%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     1.15%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)29, false>
     1.15%  sqgi     sqgi                   [.] SQTable::Get
     1.07%  sqgi     sqgi                   [.] SQVM::CMP_OP
     1.07%  sqgi     sqgi                   [.] SQVM::StartCall
     1.05%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     0.97%  sqgi     sqgi                   [.] SQVM::Return
     0.82%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)6, false>
     0.82%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)15, false>
     0.66%  sqgi     sqgi                   [.] sqjit_context
     0.66%  sqgi     sqgi                   [.] SQVM::EnterFrame
     0.66%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.66%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     0.58%  sqgi     sqgi                   [.] SQVM::IsEqual
     0.58%  sqgi     sqgi                   [.] sqjit_native_call_fits_stack
     0.57%  sqgi     sqgi                   [.] SQJitWriteLog::RecordArray


#
# (Cannot load tips.txt file, please install perf!)
#
