# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 7975283096
#
# Overhead  Command  Shared Object            Symbol                                                                               
# ........  .......  .......................  .....................................................................................
#
    47.33%  sqgi     sqgi                     [.] SQVM::Execute
     9.04%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     4.22%  sqgi     sqgi                     [.] sqjit_try_execute_current
     2.92%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     2.92%  sqgi     sqgi                     [.] SQVM::StartCall
     2.75%  sqgi     sqgi                     [.] sqjit_try_execute_current_loop
     2.57%  sqgi     sqgi                     [.] SQVM::Return
     2.23%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.06%  sqgi     sqgi                     [.] SQVM::LeaveFrame
     2.06%  sqgi     sqgi                     [.] sqjit_try_execute_closure
     1.37%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     1.15%  sqgi     sqgi                     [.] sqjit_loop_header_is_rejected
     1.14%  sqgi     sqgi                     [.] SQJitWriteLog::CanReleaseInContext
     1.14%  sqgi     sqgi                     [.] SQVM::ObjCmp
     1.14%  sqgi     sqgi                     [.] sqjit_on_function_enter
     0.91%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     0.80%  sqgi     libc.so.6                [.] __memset_zva64
     0.80%  sqgi     sqgi                     [.] sqjit_native_precheck
     0.80%  sqgi     sqgi                     [.] SQVM::IsFalse
     0.80%  sqgi     sqgi                     [.] sqjit_native_call_fits_stack
     0.74%  sqgi     sqgi                     [.] SQVM::CMP_OP
     0.74%  sqgi     sqgi                     [.] SQVM::EnterFrame
     0.52%  sqgi     sqgi                     [.] sqjit_context


#
# (Cannot load tips.txt file, please install perf!)
#
