# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 4562213107
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    13.71%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     9.60%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     5.82%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     1.60%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b7498
     1.30%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b753c
     1.26%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b74e4
     1.20%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b776c
     1.20%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b81cc
     1.20%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b86c0
     1.20%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b741c
     1.20%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b81d4
     1.10%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b81e8
     1.10%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b736c
     1.10%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b7c80
     1.10%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b79a0
     1.00%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b7750
     0.95%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b83d0
     0.90%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b83c0
     0.90%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b81d8
     0.90%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b8340
     0.90%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b7d3c
     0.90%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b78dc
     0.90%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b76bc
     0.90%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b811c
     0.80%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b8350
     0.80%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b74f4
     0.80%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b8124
     0.70%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b8a80
     0.70%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b7958
     0.70%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b74a8
     0.70%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b7d88
     0.70%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b7480
     0.67%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b8490
     0.60%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b76e8
     0.60%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b73c8
     0.60%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b8a7c
     0.60%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b8610
     0.60%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b83ec
     0.60%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b7330
     0.60%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b8090
     0.60%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b8010
     0.60%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b7494
     0.60%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b8228
     0.59%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b84a0
     0.50%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b72b0
     0.50%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b85e8
     0.50%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b8884
     0.50%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b7e88
     0.50%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b7254
     0.50%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b7b90
     0.50%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b86b8
     0.50%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b8018
     0.50%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b89c0
     0.50%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b7eb4
     0.50%  sqgi     [JIT] tid 686352              [.] 0x0000ffff976b8248


#
# (Cannot load tips.txt file, please install perf!)
#
