# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 216  of event 'cycles:u'
# Event count (approx.): 896233582
#
# Overhead  Command  Shared Object          Symbol                                                
# ........  .......  .....................  ......................................................
#
    16.09%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
    13.04%  sqgi     sqgi                   [.] SQJitWriteLog::RecordMember
    10.88%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     7.64%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_reference_logged
     7.64%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_integer_logged
     7.61%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     6.11%  sqgi     sqgi                   [.] sqjit_a64_resolve_root_store_slot
     4.26%  sqgi     sqgi                   [.] sqjit_a64_helper_instance_field_set_integer_logged
     2.92%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3ff214
     2.03%  sqgi     sqgi                   [.] SQJitWriteLog::OwnerBucket
     1.53%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3fe1dc
     1.53%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3fe228
     1.53%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3fc194
     1.02%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3fc224
     1.02%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3fc1c0
     1.02%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3fd280
     1.01%  sqgi     sqgi                   [.] sqjit_write_log_ensure
     0.81%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3ff174
     0.51%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3fd1ac
     0.51%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3fd13c
     0.51%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3fd268
     0.51%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3fc200
     0.51%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3fe220
     0.51%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3fd2a0
     0.51%  sqgi     sqgi                   [.] compile_loop
     0.51%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3fe174
     0.51%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3fc120
     0.51%  sqgi     sqgi                   [.] SQVM::Execute
     0.51%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3fe124
     0.51%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3fd174
     0.51%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3fc158
     0.51%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3ff274
     0.51%  sqgi     sqgi                   [.] SQString::Release
     0.51%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3fd240
     0.51%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3ff124
     0.51%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3fe1b4
     0.51%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3fe248
     0.51%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3ff254
     0.51%  sqgi     [JIT] tid 686307       [.] 0x0000ffff8c3fd250


#
# (Cannot load tips.txt file, please install perf!)
#
