# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 7265226768
#
# Overhead  Command  Shared Object                 Symbol                           
# ........  .......  ............................  .................................
#
     5.81%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eeb91e4
     5.80%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eeb6164
     5.50%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eeba690
     5.37%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eeba4e8
     4.93%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eeba838
     4.86%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eeba90c
     4.80%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eeba414
     4.74%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eeba5bc
     4.48%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eeba764
     4.20%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eebc164
     3.78%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eeb72a0
     3.59%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eeb8198
     2.40%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eebb244
     2.27%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eeb81ec
     1.20%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eeb92d8
     1.01%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eebb53c
     1.01%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eeb8328
     0.94%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eebb464
     0.88%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eeb71e0
     0.88%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eeb7164
     0.82%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eeba40c
     0.82%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eebb3ec
     0.76%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eebb1c8
     0.69%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eeb832c
     0.69%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eebb38c
     0.69%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eebb394
     0.63%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eebb540
     0.57%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eeb8148
     0.51%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eebb1d4
     0.51%  sqgi     [JIT] tid 649130              [.] 0x0000ffff8eeb9188


#
# (Cannot load tips.txt file, please install perf!)
#
