# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 587  of event 'cycles:u'
# Event count (approx.): 2518588173
#
# Overhead  Command  Shared Object          Symbol                                        
# ........  .......  .....................  ..............................................
#
    15.97%  sqgi     sqgi                   [.] SQVM::Execute
    11.69%  sqgi     sqgi                   [.] SQJitWriteLog::RecordMember
     6.18%  sqgi     sqgi                   [.] sqjit_a64_helper_array_get_object
     6.07%  sqgi     sqgi                   [.] sqjit_a64_root_fallback_safe
     5.07%  sqgi     sqgi                   [.] SQTable::Get
     4.37%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     4.11%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_integer_logged
     3.87%  sqgi     [JIT] tid 648223       [.] 0x0000ffff7fcf6214
     2.52%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     1.97%  sqgi     [JIT] tid 648223       [.] 0x0000ffff7fcf63b0
     1.81%  sqgi     sqgi                   [.] SQTable::Set
     1.09%  sqgi     sqgi                   [.] SQVM::DerefInc
     1.04%  sqgi     [JIT] tid 648223       [.] 0x0000ffff7fcf62f0
     0.91%  sqgi     sqgi                   [.] SQVM::Set
     0.90%  sqgi     [JIT] tid 648223       [.] 0x0000ffff7fcf665c
     0.90%  sqgi     [JIT] tid 648223       [.] 0x0000ffff7fcf91d4
     0.90%  sqgi     [JIT] tid 648223       [.] 0x0000ffff7fcf92b0
     0.88%  sqgi     sqgi                   [.] SQJitWriteLog::Bucket
     0.73%  sqgi     sqgi                   [.] SQVM::Get
     0.73%  sqgi     sqgi                   [.] SQVM::ObjCmp
     0.72%  sqgi     sqgi                   [.] SQVM::ARITH_OP
     0.72%  sqgi     [JIT] tid 648223       [.] 0x0000ffff7fcf8264
     0.72%  sqgi     [JIT] tid 648223       [.] 0x0000ffff7fcf92e4
     0.72%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     0.72%  sqgi     [JIT] tid 648223       [.] 0x0000ffff7fcf6734
     0.72%  sqgi     [JIT] tid 648223       [.] 0x0000ffff7fcf92dc
     0.70%  sqgi     [JIT] tid 648223       [.] 0x0000ffff7fcf616c
     0.54%  sqgi     sqgi                   [.] sqjit_write_log_ensure
     0.54%  sqgi     sqgi                   [.] SQVM::CMP_OP
     0.54%  sqgi     [JIT] tid 648223       [.] 0x0000ffff7fcf9160
     0.54%  sqgi     [JIT] tid 648223       [.] 0x0000ffff7fcf8380
     0.54%  sqgi     [JIT] tid 648223       [.] 0x0000ffff7fcf735c
     0.54%  sqgi     [JIT] tid 648223       [.] 0x0000ffff7fcf54d4
     0.54%  sqgi     sqgi                   [.] SQVM::FallBackGet
     0.53%  sqgi     [JIT] tid 648223       [.] 0x0000ffff7fcf61a0
     0.53%  sqgi     [JIT] tid 648223       [.] 0x0000ffff7fcf6384
     0.53%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard


#
# (Cannot load tips.txt file, please install perf!)
#
