# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 199  of event 'cycles:u'
# Event count (approx.): 743148452
#
# Overhead  Command  Shared Object          Symbol                           
# ........  .......  .....................  .................................
#
     6.76%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df9690
     6.73%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df5164
     5.53%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df9838
     5.06%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7dfb164
     4.92%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df94e8
     4.91%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df9764
     4.91%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df62a0
     4.90%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df7198
     4.30%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df95bc
     3.68%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df990c
     3.06%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df81e4
     2.46%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df9414
     2.45%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df8280
     2.37%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7dfa244
     1.23%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df9878
     1.23%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7dfa4cc
     1.23%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df7148
     1.23%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df7154
     1.22%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df71ec
     1.22%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7dfa528
     1.22%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df82c0
     1.22%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df521c
     1.20%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7dfa2c0
     0.62%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df96b0
     0.62%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df9494
     0.62%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df9548
     0.62%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df9434
     0.62%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df9568
     0.62%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df97a4
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df961c
     0.61%  sqgi     sqgi                   [.] native_sqrt
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df6200
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df7174
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df9330
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df9350
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7dfa468
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df8194
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df82a0
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df8264
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7dfa538
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df61e0
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df8204
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df720c
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df940c
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df6274
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7dfa3a0
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df82d8
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7dfa3ec
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7dfa464
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7dfa530
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df6164
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7dfa454
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df61c0
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7dfa478
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df9858
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7dfa284
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7dfa3a4
     0.61%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7df7328
     0.60%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7dfa39c
     0.60%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7dfa47c
     0.59%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7dfa1c8
     0.58%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7dfa1cc
     0.57%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7dfa540
     0.55%  sqgi     [JIT] tid 648433       [.] 0x0000ffffa7dfb1e0


#
# (Cannot load tips.txt file, please install perf!)
#
