# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 9971971251
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                 
# ........  .......  ............................  .......................................................................................................................................................
#
    22.39%  sqgi     sqgi                          [.] SQVM::Execute
     9.71%  sqgi     [JIT] tid 648187              [.] 0x0000ffff97c26164
     6.18%  sqgi     [JIT] tid 648187              [.] 0x0000ffff97c25164
     4.49%  sqgi     [JIT] tid 648187              [.] 0x0000ffff97c24164
     3.80%  sqgi     [JIT] tid 648187              [.] 0x0000ffff97c23230
     2.88%  sqgi     sqgi                          [.] SQTable::Get
     1.74%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     1.70%  sqgi     [JIT] tid 648187              [.] 0x0000ffff97c23244
     1.47%  sqgi     [JIT] tid 648187              [.] 0x0000ffff97c231c0
     1.24%  sqgi     [JIT] tid 648187              [.] 0x0000ffff97c23258
     1.05%  sqgi     sqgi                          [.] sqjit_number_conversion_guard
     1.01%  sqgi     [JIT] tid 648187              [.] 0x0000ffff97c23274
     1.01%  sqgi     [JIT] tid 648187              [.] 0x0000ffff97c2523c
     0.96%  sqgi     libm.so.6                     [.] pow@@GLIBC_2.29
     0.87%  sqgi     sqgi                          [.] SQVM::ObjCmp
     0.78%  sqgi     [JIT] tid 648187              [.] 0x0000ffff97c28264
     0.78%  sqgi     sqgi                          [.] sqjit_a64_helper_member_native_closure_guard
     0.64%  sqgi     [JIT] tid 648187              [.] 0x0000ffff97c29244
     0.59%  sqgi     [JIT] tid 648187              [.] 0x0000ffff97c29254
     0.55%  sqgi     libm.so.6                     [.] __atan2_finite@GLIBC_2.17
     0.55%  sqgi     [JIT] tid 648187              [.] 0x0000ffff97c282e0
     0.55%  sqgi     libm.so.6                     [.] __sin
     0.55%  sqgi     [JIT] tid 648187              [.] 0x0000ffff97c25200
     0.50%  sqgi     sqgi                          [.] sqjit_try_execute_current
     0.50%  sqgi     sqgi                          [.] SQJitWriteLog::RecordArray


#
# (Cannot load tips.txt file, please install perf!)
#
