# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 5943767003
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    58.80%  sqgi     sqgi                          [.] SQVM::Execute
     3.22%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     2.92%  sqgi     sqgi                          [.] SQTable::Get
     2.68%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.59%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     2.29%  sqgi     sqgi                          [.] sqjit_try_execute_current
     1.77%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.54%  sqgi     sqgi                          [.] SQVM::Return
     1.30%  sqgi     sqgi                          [.] sqjit_number_conversion_guard
     1.15%  sqgi     sqgi                          [.] sqjit_try_execute_closure
     1.00%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.92%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     0.77%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.69%  sqgi     sqgi                          [.] SQVM::Get
     0.69%  sqgi     sqgi                          [.] sqjit_a64_helper_array_set_float_logged
     0.61%  sqgi     sqgi                          [.] sqjit_loop_header_is_rejected
     0.59%  sqgi     sqgi                          [.] SQVM::StartCall
     0.54%  sqgi     sqgi                          [.] SQVM::EnterFrame
     0.54%  sqgi     sqgi                          [.] SQJitWriteLog::RecordArray
     0.54%  sqgi     [JIT] tid 648270              [.] 0x0000ffff85b2f694
     0.54%  sqgi     sqgi                          [.] sqjit_on_function_enter


#
# (Cannot load tips.txt file, please install perf!)
#
