# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 7989902162
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    45.47%  sqgi     sqgi                          [.] SQVM::Execute
     7.71%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     5.36%  sqgi     sqgi                          [.] sqjit_try_execute_current
     3.02%  sqgi     sqgi                          [.] SQVM::Return
     2.80%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     2.74%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     2.57%  sqgi     sqgi                          [.] sqjit_try_execute_closure
     2.57%  sqgi     sqgi                          [.] SQVM::StartCall
     2.50%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.42%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     1.71%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.43%  sqgi     sqgi                          [.] sqjit_on_function_enter
     1.36%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     1.31%  sqgi     sqgi                          [.] SQVM::CMP_OP
     1.31%  sqgi     sqgi                          [.] SQVM::IsFalse
     1.09%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     1.09%  sqgi     sqgi                          [.] sqjit_native_call_fits_stack
     1.08%  sqgi     sqgi                          [.] sqjit_context
     0.91%  sqgi     sqgi                          [.] sqjit_loop_header_is_rejected
     0.86%  sqgi     sqgi                          [.] SQVM::EnterFrame
     0.86%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.63%  sqgi     sqgi                          [.] sqjit_native_precheck
     0.63%  sqgi     libc.so.6                     [.] __memset_zva64
     0.51%  sqgi     sqgi                          [.] sqjit_proto_backoff_active


#
# (Cannot load tips.txt file, please install perf!)
#
