# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 4580400389
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    12.60%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)39, false>
    10.73%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     4.48%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     1.60%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b96c0
     1.60%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b911c
     1.50%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b82b0
     1.50%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b8498
     1.40%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b91cc
     1.19%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b8494
     1.10%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b8c7c
     1.10%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b853c
     1.10%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b84e4
     1.00%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b8268
     1.00%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b8c80
     0.90%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b91e8
     0.90%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b9350
     0.90%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b83e0
     0.86%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b9a80
     0.80%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b8750
     0.80%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b91d4
     0.80%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b9340
     0.80%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b88dc
     0.80%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b8674
     0.80%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b8ddc
     0.80%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b93c0
     0.80%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b836c
     0.79%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b818c
     0.70%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b94a0
     0.70%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b8c1c
     0.70%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b9490
     0.70%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b95e4
     0.70%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b82dc
     0.70%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b88ec
     0.70%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b89a0
     0.70%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b8480
     0.70%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b9204
     0.60%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b91d8
     0.60%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b9884
     0.60%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b99c0
     0.60%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b876c
     0.60%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b85f4
     0.60%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b8470
     0.60%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b8870
     0.60%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b9130
     0.59%  sqgi     [JIT] tid 648302              [.] 0x0000ffffb80b929c


#
# (Cannot load tips.txt file, please install perf!)
#
