# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 226  of event 'cycles:u'
# Event count (approx.): 883775492
#
# Overhead  Command  Shared Object                 Symbol                                                
# ........  .......  ............................  ......................................................
#
    15.16%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
    10.33%  sqgi     sqgi                          [.] SQJitWriteLog::RecordMember
     9.58%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     8.26%  sqgi     sqgi                          [.] sqjit_a64_resolve_root_store_slot
     7.74%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_reference_logged
     7.22%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_integer_logged
     5.92%  sqgi     sqgi                          [.] sqjit_a64_helper_instance_field_set_integer_logged
     4.11%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     3.10%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da51c0
     3.10%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da71dc
     2.50%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da8214
     2.07%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da618c
     1.55%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da71b0
     1.54%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da7228
     1.03%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da5224
     1.03%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da61ac
     1.03%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da7174
     1.03%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da520c
     0.52%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da625c
     0.52%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da6174
     0.52%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da6214
     0.52%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da5140
     0.52%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da61e0
     0.52%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da71d0
     0.52%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da62a0
     0.52%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da7130
     0.52%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da6250
     0.52%  sqgi     sqgi                          [.] SQJitWriteLog::OwnerBucket
     0.52%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da8210
     0.52%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da611c
     0.52%  sqgi     libgirepository-1.0.so.1.0.0  [.] 0x00000000000196b4
     0.52%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da8254
     0.52%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da823c
     0.52%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da813c
     0.52%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da81d0
     0.52%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da826c
     0.51%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da6280
     0.51%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da8194
     0.51%  sqgi     [JIT] tid 648245              [.] 0x0000ffff80da6194


#
# (Cannot load tips.txt file, please install perf!)
#
