# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 554  of event 'cycles:u'
# Event count (approx.): 2358605776
#
# Overhead  Command  Shared Object               Symbol                                                                               
# ........  .......  ..........................  .....................................................................................
#
    15.00%  sqgi     sqgi                        [.] SQVM::Execute
    11.63%  sqgi     sqgi                        [.] SQJitWriteLog::RecordMember
     5.99%  sqgi     sqgi                        [.] SQTable::Get
     5.26%  sqgi     sqgi                        [.] sqjit_a64_helper_array_get_object
     4.92%  sqgi     sqgi                        [.] sqjit_a64_borrow_member_ptr_value
     4.55%  sqgi     sqgi                        [.] sqjit_a64_root_fallback_safe
     4.37%  sqgi     sqgi                        [.] sqjit_a64_helper_member_set_integer_logged
     3.65%  sqgi     sqgi                        [.] SQJitWriteLog::CanRelease
     1.87%  sqgi     [JIT] tid 698549            [.] 0x0000ffff82e152dc
     1.69%  sqgi     [JIT] tid 698549            [.] 0x0000ffff82e123b0
     1.55%  sqgi     sqgi                        [.] SQVM::Set
     1.55%  sqgi     sqgi                        [.] SQVM::DerefInc
     1.50%  sqgi     [JIT] tid 698549            [.] 0x0000ffff82e1265c
     1.35%  sqgi     sqgi                        [.] SQVM::Get
     1.16%  sqgi     sqgi                        [.] sqjit_a64_helper_member_closure_guard
     1.12%  sqgi     [JIT] tid 698549            [.] 0x0000ffff82e151d4
     0.97%  sqgi     sqgi                        [.] SQVM::FallBackGet
     0.97%  sqgi     [JIT] tid 698549            [.] 0x0000ffff82e1335c
     0.97%  sqgi     [JIT] tid 698549            [.] 0x0000ffff82e14264
     0.97%  sqgi     sqgi                        [.] SQTable::Set
     0.96%  sqgi     sqgi                        [.] SQVM::ObjCmp
     0.94%  sqgi     [JIT] tid 698549            [.] 0x0000ffff82e12734
     0.77%  sqgi     [JIT] tid 698549            [.] 0x0000ffff82e1332c
     0.77%  sqgi     [JIT] tid 698549            [.] 0x0000ffff82e121a0
     0.77%  sqgi     [JIT] tid 698549            [.] 0x0000ffff82e124c0
     0.77%  sqgi     [JIT] tid 698549            [.] 0x0000ffff82e1216c
     0.58%  sqgi     sqgi                        [.] SQVM::IsFalse
     0.58%  sqgi     sqgi                        [.] SQVM::ARITH_OP
     0.58%  sqgi     [JIT] tid 698549            [.] 0x0000ffff82e14354
     0.58%  sqgi     sqgi                        [.] SQVM::CMP_OP
     0.58%  sqgi     [JIT] tid 698549            [.] 0x0000ffff82e115a4
     0.58%  sqgi     sqgi                        [.] sqjit_try_execute_current_loop
     0.58%  sqgi     [JIT] tid 698549            [.] 0x0000ffff82e1217c
     0.58%  sqgi     [JIT] tid 698549            [.] 0x0000ffff82e12214


#
# (Cannot load tips.txt file, please install perf!)
#
