# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 195  of event 'cycles:u'
# Event count (approx.): 744364345
#
# Overhead  Command  Shared Object               Symbol                                      
# ........  .......  ..........................  ............................................
#
     7.98%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba8764
     6.75%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba8838
     6.12%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba4164
     5.52%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba71e4
     4.79%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbabaa164
     4.30%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba8414
     4.30%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba8690
     4.29%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba6198
     3.07%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba85bc
     3.07%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba84e8
     3.07%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba890c
     2.45%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba52a0
     2.42%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba9244
     1.84%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba6328
     1.84%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba61ec
     1.82%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba9464
     1.23%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba840c
     1.23%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba72d8
     1.22%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba5218
     1.22%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba93ec
     1.22%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba7188
     1.21%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba91c8
     1.21%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba953c
     0.64%  sqgi     ld-linux-aarch64.so.1       [.] _dl_relocate_object
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba8710
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba8528
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba896c
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba8568
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba72c0
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba5164
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba9534
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba898c
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba5200
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba85dc
     0.61%  sqgi     libgobject-2.0.so.0.8000.0  [.] g_type_check_instance_is_fundamentally_a
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba9394
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba946c
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba632c
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba892c
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba9448
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba9540
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba51c0
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba8434
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba87c4
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba72a0
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba4290
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba8350
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba51a0
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba614c
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba8454
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba92a0
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba51e0
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba92c0
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba423c
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba9360
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba510c
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba6350
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba7204
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba932c
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba4280
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba630c
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba5274
     0.61%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba938c
     0.60%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba94c0
     0.59%  sqgi     [JIT] tid 698778            [.] 0x0000ffffbaba93f4


#
# (Cannot load tips.txt file, please install perf!)
#
