# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 9761258307
#
# Overhead  Command  Shared Object          Symbol                                           
# ........  .......  .....................  .................................................
#
    21.72%  sqgi     sqgi                   [.] SQVM::Execute
    10.01%  sqgi     [JIT] tid 698461       [.] 0x0000ffffbda79164
     6.27%  sqgi     [JIT] tid 698461       [.] 0x0000ffffbda78164
     4.54%  sqgi     [JIT] tid 698461       [.] 0x0000ffffbda77164
     3.32%  sqgi     [JIT] tid 698461       [.] 0x0000ffffbda76230
     3.22%  sqgi     sqgi                   [.] SQTable::Get
     1.96%  sqgi     [JIT] tid 698461       [.] 0x0000ffffbda761c0
     1.87%  sqgi     [JIT] tid 698461       [.] 0x0000ffffbda76244
     1.64%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.40%  sqgi     libm.so.6              [.] pow@@GLIBC_2.29
     0.89%  sqgi     [JIT] tid 698461       [.] 0x0000ffffbda76274
     0.89%  sqgi     [JIT] tid 698461       [.] 0x0000ffffbda7b2e0
     0.84%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     0.84%  sqgi     [JIT] tid 698461       [.] 0x0000ffffbda76258
     0.80%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     0.75%  sqgi     sqgi                   [.] SQJitWriteLog::Contains
     0.70%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     0.61%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     0.56%  sqgi     [JIT] tid 698461       [.] 0x0000ffffbda7c244
     0.51%  sqgi     sqgi                   [.] SQVM::LeaveFrame
     0.51%  sqgi     [JIT] tid 698461       [.] 0x0000ffffbda7c2c0
     0.51%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease


#
# (Cannot load tips.txt file, please install perf!)
#
