# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 5570056430
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    20.05%  sqgi     sqgi                          [.] SQVM::Execute
     9.59%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     4.26%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     4.02%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     3.20%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)8, false>
     2.87%  sqgi     sqgi                          [.] sqjit_try_execute_current
     2.86%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     2.21%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     2.21%  sqgi     sqgi                          [.] sqjit_number_conversion_guard
     1.97%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     1.72%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)29, false>
     1.56%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.56%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)6, false>
     1.48%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     1.48%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     1.48%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)21, false>
     1.47%  sqgi     sqgi                          [.] SQVM::StartCall
     1.39%  sqgi     sqgi                          [.] SQVM::Return
     1.39%  sqgi     sqgi                          [.] SQVM::IsFalse
     1.23%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)15, false>
     1.15%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     1.07%  sqgi     sqgi                          [.] sqjit_try_execute_closure
     0.90%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.90%  sqgi     sqgi                          [.] SQTable::Get
     0.66%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     0.66%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     0.57%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)2, false>
     0.57%  sqgi     [JIT] tid 698602              [.] 0x0000ffffb97cd354
     0.57%  sqgi     sqgi                          [.] SQObjectPtr::operator=
     0.57%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease


#
# (Cannot load tips.txt file, please install perf!)
#
