# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 7982019905
#
# Overhead  Command  Shared Object            Symbol                                                                                   
# ........  .......  .......................  .........................................................................................
#
    48.66%  sqgi     sqgi                     [.] SQVM::Execute
     7.43%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     4.69%  sqgi     sqgi                     [.] sqjit_try_execute_current
     3.02%  sqgi     sqgi                     [.] SQVM::StartCall
     2.75%  sqgi     sqgi                     [.] sqjit_try_execute_current_loop
     2.52%  sqgi     sqgi                     [.] sqjit_try_execute_closure
     2.46%  sqgi     sqgi                     [.] SQVM::Return
     2.46%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.34%  sqgi     sqgi                     [.] SQVM::LeaveFrame
     2.12%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     1.43%  sqgi     sqgi                     [.] sqjit_on_function_enter
     1.25%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     1.14%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     1.09%  sqgi     sqgi                     [.] SQVM::ObjCmp
     1.07%  sqgi     sqgi                     [.] sqjit_context
     1.00%  sqgi     sqgi                     [.] SQJitWriteLog::CanReleaseInContext
     0.97%  sqgi     sqgi                     [.] SQVM::CMP_OP
     0.92%  sqgi     sqgi                     [.] sqjit_loop_header_is_rejected
     0.86%  sqgi     sqgi                     [.] sqjit_native_call_fits_stack
     0.69%  sqgi     sqgi                     [.] sqjit_proto_backoff_active
     0.51%  sqgi     sqgi                     [.] sqjit_native_precheck


#
# (Cannot load tips.txt file, please install perf!)
#
