# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 883  of event 'cycles:u'
# Event count (approx.): 3955044441
#
# Overhead  Command  Shared Object            Symbol                                                                                   
# ........  .......  .......................  .........................................................................................
#
    12.04%  sqgi     sqgi                     [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     2.54%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b7498
     2.19%  sqgi     sqgi                     [.] SQJitWriteLog::CanReleaseInContext
     2.19%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b86c0
     1.85%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b8aac
     1.73%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b74e4
     1.62%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b811c
     1.39%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b76bc
     1.27%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b81cc
     1.15%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b7c7c
     1.15%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b7268
     1.15%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b7ec8
     1.15%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b72b0
     1.15%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b83c0
     1.12%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b8490
     1.04%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b8a80
     1.04%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b717c
     1.04%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b81d4
     0.92%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b7c80
     0.92%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b8090
     0.92%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b8228
     0.92%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b7750
     0.92%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b7958
     0.92%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b8124
     0.87%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b736c
     0.81%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b8130
     0.81%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b89c0
     0.81%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b8204
     0.81%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b835c
     0.81%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b848c
     0.81%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b7470
     0.81%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b7c1c
     0.81%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b8350
     0.81%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b753c
     0.81%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b718c
     0.69%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b7258
     0.69%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b7674
     0.69%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b7c14
     0.69%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b776c
     0.69%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b78dc
     0.69%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b87bc
     0.69%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b8a90
     0.69%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b85e4
     0.69%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b79a0
     0.67%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b84a0
     0.58%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b81e8
     0.58%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b7d68
     0.58%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b85fc
     0.58%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b8a2c
     0.58%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b8970
     0.58%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b72dc
     0.58%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b8340
     0.58%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b7d44
     0.58%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b7d3c
     0.58%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b850c
     0.58%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b7c08
     0.58%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b887c
     0.58%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b81fc
     0.58%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b8aa4
     0.58%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b78ec
     0.58%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b7404
     0.58%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b7cd8
     0.57%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b74a8
     0.56%  sqgi     [JIT] tid 698672         [.] 0x0000ffff8d1b7330


#
# (Cannot load tips.txt file, please install perf!)
#
