# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 210  of event 'cycles:u'
# Event count (approx.): 879867797
#
# Overhead  Command  Shared Object            Symbol                                                
# ........  .......  .......................  ......................................................
#
    14.41%  sqgi     sqgi                     [.] SQJitWriteLog::CanRelease
    13.96%  sqgi     sqgi                     [.] sqjit_a64_borrow_member_ptr_value
    10.88%  sqgi     sqgi                     [.] SQJitWriteLog::RecordMember
    10.31%  sqgi     sqgi                     [.] sqjit_a64_helper_member_closure_guard
     8.81%  sqgi     sqgi                     [.] sqjit_a64_helper_member_set_reference_logged
     8.29%  sqgi     sqgi                     [.] sqjit_a64_helper_member_set_integer_logged
     6.22%  sqgi     sqgi                     [.] sqjit_a64_resolve_root_store_slot
     4.07%  sqgi     sqgi                     [.] sqjit_a64_helper_instance_field_set_integer_logged
     2.93%  sqgi     [JIT] tid 698571         [.] 0x0000ffffaccc3214
     2.08%  sqgi     [JIT] tid 698571         [.] 0x0000ffffacabd1c0
     1.55%  sqgi     sqgi                     [.] sqjit_write_log_ensure
     1.04%  sqgi     [JIT] tid 698571         [.] 0x0000ffffacabd194
     1.04%  sqgi     [JIT] tid 698571         [.] 0x0000ffffacabe268
     1.04%  sqgi     [JIT] tid 698571         [.] 0x0000ffffacabe240
     1.04%  sqgi     [JIT] tid 698571         [.] 0x0000ffffacabf1dc
     1.04%  sqgi     [JIT] tid 698571         [.] 0x0000ffffacabd224
     1.03%  sqgi     [JIT] tid 698571         [.] 0x0000ffffacabf228
     0.52%  sqgi     [JIT] tid 698571         [.] 0x0000ffffacabd17c
     0.52%  sqgi     [JIT] tid 698571         [.] 0x0000ffffacabe194
     0.52%  sqgi     [JIT] tid 698571         [.] 0x0000ffffacabe250
     0.52%  sqgi     [JIT] tid 698571         [.] 0x0000ffffacabf194
     0.52%  sqgi     [JIT] tid 698571         [.] 0x0000ffffacabe1dc
     0.52%  sqgi     [JIT] tid 698571         [.] 0x0000ffffacabe174
     0.52%  sqgi     [JIT] tid 698571         [.] 0x0000ffffacabe280
     0.52%  sqgi     ld-linux-aarch64.so.1    [.] dfs_traversal.part.0
     0.52%  sqgi     [JIT] tid 698571         [.] 0x0000ffffacabe1bc
     0.52%  sqgi     [JIT] tid 698571         [.] 0x0000ffffacabd158
     0.52%  sqgi     [JIT] tid 698571         [.] 0x0000ffffacabe18c
     0.52%  sqgi     [JIT] tid 698571         [.] 0x0000ffffacabf210
     0.52%  sqgi     [JIT] tid 698571         [.] 0x0000ffffaccc3150
     0.52%  sqgi     [JIT] tid 698571         [.] 0x0000ffffaccc3254
     0.52%  sqgi     [JIT] tid 698571         [.] 0x0000ffffacabf1d0
     0.52%  sqgi     [JIT] tid 698571         [.] 0x0000ffffacabf1b0


#
# (Cannot load tips.txt file, please install perf!)
#
