# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 585  of event 'cycles:u'
# Event count (approx.): 2516137866
#
# Overhead  Command  Shared Object                 Symbol                                        
# ........  .......  ............................  ..............................................
#
    15.50%  sqgi     sqgi                          [.] SQJitWriteLog::RecordMember
    14.57%  sqgi     sqgi                          [.] SQVM::Execute
     5.19%  sqgi     sqgi                          [.] sqjit_a64_root_fallback_safe
     4.75%  sqgi     sqgi                          [.] sqjit_a64_helper_array_get_object
     4.52%  sqgi     sqgi                          [.] SQTable::Get
     4.47%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_integer_logged
     3.82%  sqgi     [JIT] tid 595856              [.] 0x0000ffffa8885214
     3.39%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     2.17%  sqgi     sqgi                          [.] SQVM::DerefInc
     1.93%  sqgi     [JIT] tid 595856              [.] 0x0000ffffa88882dc
     1.79%  sqgi     [JIT] tid 595856              [.] 0x0000ffffa88853b0
     1.77%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     1.63%  sqgi     sqgi                          [.] SQVM::Get
     1.58%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     1.45%  sqgi     sqgi                          [.] SQVM::FallBackGet
     1.17%  sqgi     [JIT] tid 595856              [.] 0x0000ffffa88882e4
     1.09%  sqgi     sqgi                          [.] SQVM::Set
     1.08%  sqgi     [JIT] tid 595856              [.] 0x0000ffffa88881d4
     1.08%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.08%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     1.08%  sqgi     [JIT] tid 595856              [.] 0x0000ffffa88851a0
     1.05%  sqgi     [JIT] tid 595856              [.] 0x0000ffffa88851f8
     0.86%  sqgi     [JIT] tid 595856              [.] 0x0000ffffa88852f0
     0.72%  sqgi     [JIT] tid 595856              [.] 0x0000ffffa8887264
     0.72%  sqgi     [JIT] tid 595856              [.] 0x0000ffffa8885734
     0.71%  sqgi     [JIT] tid 595856              [.] 0x0000ffffa88882b0
     0.54%  sqgi     [JIT] tid 595856              [.] 0x0000ffffa8888268
     0.54%  sqgi     sqgi                          [.] SQTable::Set
     0.54%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.52%  sqgi     [JIT] tid 595856              [.] 0x0000ffffa88882c8
     0.52%  sqgi     sqgi                          [.] sqjit_write_log_ensure
     0.52%  sqgi     [JIT] tid 595856              [.] 0x0000ffffa888565c


#
# (Cannot load tips.txt file, please install perf!)
#
