# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 320  of event 'cycles:u'
# Event count (approx.): 1359804410
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                              
# ........  .......  ............................  ....................................................................................................................................................................................................
#
    18.04%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
    10.73%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     2.68%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdaff1e8
     2.01%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb035c8
     2.01%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb02284
     1.68%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb033a0
     1.34%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb03394
     1.34%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb03690
     1.34%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdaff240
     1.34%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb037fc
     1.34%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb03450
     1.34%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdaff254
     1.34%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb0429c
     1.34%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb042b0
     1.33%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb01210
     1.01%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb038b8
     1.01%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb0428c
     1.01%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb042a8
     1.00%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb04428
     1.00%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb0130c
     1.00%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb0229c
     1.00%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb0337c
     1.00%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb001f4
     1.00%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb03810
     1.00%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb00288
     0.96%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb051e0
     0.89%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb051d4
     0.67%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb044dc
     0.67%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdaff260
     0.67%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb038cc
     0.67%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb03520
     0.67%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb03684
     0.67%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb044a0
     0.67%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb044e8
     0.67%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb03740
     0.67%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb012e8
     0.67%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb035dc
     0.67%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb0374c
     0.67%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdaff1d4
     0.67%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb022b0
     0.67%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb03674
     0.67%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb04298
     0.67%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb03808
     0.67%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb0223c
     0.67%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb0222c
     0.67%  sqgi     sqgi                          [.] native_sqrt
     0.67%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb001e4
     0.67%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb044f0
     0.67%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb001c8
     0.61%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb05198
     0.52%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb051e8
     0.51%  sqgi     [JIT] tid 596145              [.] 0x0000ffffbdb051ac


#
# (Cannot load tips.txt file, please install perf!)
#
