# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11143255313
#
# Overhead  Command  Shared Object                 Symbol                                           
# ........  .......  ............................  .................................................
#
    20.55%  sqgi     sqgi                          [.] SQVM::Execute
     5.16%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     2.79%  sqgi     [JIT] tid 595812              [.] 0x0000ffffaaf3f230
     2.56%  sqgi     [JIT] tid 595812              [.] 0x0000ffffab145240
     2.50%  sqgi     [JIT] tid 595812              [.] 0x0000ffffab1431b4
     2.25%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     2.17%  sqgi     [JIT] tid 595812              [.] 0x0000ffffab144268
     2.01%  sqgi     [JIT] tid 595812              [.] 0x0000ffffab1441ac
     1.88%  sqgi     [JIT] tid 595812              [.] 0x0000ffffaaf3f1c0
     1.76%  sqgi     sqgi                          [.] SQTable::Get
     1.70%  sqgi     [JIT] tid 595812              [.] 0x0000ffffab1451d4
     1.68%  sqgi     [JIT] tid 595812              [.] 0x0000ffffaaf3f244
     1.68%  sqgi     [JIT] tid 595812              [.] 0x0000ffffab1451c0
     1.60%  sqgi     [JIT] tid 595812              [.] 0x0000ffffab1431a0
     1.45%  sqgi     [JIT] tid 595812              [.] 0x0000ffffab14522c
     1.31%  sqgi     [JIT] tid 595812              [.] 0x0000ffffab144254
     1.19%  sqgi     [JIT] tid 595812              [.] 0x0000ffffaaf3f258
     1.11%  sqgi     [JIT] tid 595812              [.] 0x0000ffffab1441c0
     1.02%  sqgi     sqgi                          [.] sqjit_number_conversion_guard
     0.98%  sqgi     [JIT] tid 595812              [.] 0x0000ffffab144238
     0.98%  sqgi     libm.so.6                     [.] pow@@GLIBC_2.29
     0.86%  sqgi     [JIT] tid 595812              [.] 0x0000ffffab1472e0
     0.82%  sqgi     [JIT] tid 595812              [.] 0x0000ffffab1431bc
     0.74%  sqgi     [JIT] tid 595812              [.] 0x0000ffffab1431a4
     0.74%  sqgi     [JIT] tid 595812              [.] 0x0000ffffab145248
     0.65%  sqgi     libm.so.6                     [.] __atan2_finite@GLIBC_2.17
     0.64%  sqgi     [JIT] tid 595812              [.] 0x0000ffffab145210
     0.61%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     0.61%  sqgi     [JIT] tid 595812              [.] 0x0000ffffab144270
     0.61%  sqgi     [JIT] tid 595812              [.] 0x0000ffffab148244
     0.61%  sqgi     [JIT] tid 595812              [.] 0x0000ffffab1451f8
     0.57%  sqgi     [JIT] tid 595812              [.] 0x0000ffffab147264
     0.53%  sqgi     [JIT] tid 595812              [.] 0x0000ffffaaf3f274
     0.53%  sqgi     sqgi                          [.] sqjit_a64_helper_member_native_closure_guard
     0.53%  sqgi     [JIT] tid 595812              [.] 0x0000ffffab147274
     0.53%  sqgi     [JIT] tid 595812              [.] 0x0000ffffab144224
     0.53%  sqgi     sqgi                          [.] SQJitWriteLog::RecordArray


#
# (Cannot load tips.txt file, please install perf!)
#
