# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 5946548566
#
# Overhead  Command  Shared Object           Symbol                                         
# ........  .......  ......................  ...............................................
#
    60.26%  sqgi     sqgi                    [.] SQVM::Execute
     3.58%  sqgi     sqgi                    [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     2.99%  sqgi     sqgi                    [.] SQTable::Get
     2.61%  sqgi     sqgi                    [.] sqjit_try_execute_current_loop
     2.06%  sqgi     sqgi                    [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     1.99%  sqgi     sqgi                    [.] sqjit_number_conversion_guard
     1.76%  sqgi     sqgi                    [.] SQVM::LeaveFrame
     1.76%  sqgi     sqgi                    [.] sqjit_try_execute_current
     1.50%  sqgi     sqgi                    [.] SQVM::Return
     1.38%  sqgi     sqgi                    [.] SQVM::ObjCmp
     0.92%  sqgi     sqgi                    [.] SQVM::CMP_OP
     0.92%  sqgi     sqgi                    [.] SQVM::Get
     0.81%  sqgi     sqgi                    [.] SQVM::IsFalse
     0.77%  sqgi     sqgi                    [.] SQJitWriteLog::CanRelease
     0.77%  sqgi     sqgi                    [.] SQVM::StartCall
     0.69%  sqgi     sqgi                    [.] sqjit_try_execute_closure
     0.61%  sqgi     sqgi                    [.] sqjit_loop_header_is_rejected
     0.54%  sqgi     sqgi                    [.] SQJitWriteLog::RecordArray


#
# (Cannot load tips.txt file, please install perf!)
#
