# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 7986774774
#
# Overhead  Command  Shared Object          Symbol                                         
# ........  .......  .....................  ...............................................
#
    46.59%  sqgi     sqgi                   [.] SQVM::Execute
     9.02%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     4.67%  sqgi     sqgi                   [.] sqjit_try_execute_current
     3.03%  sqgi     sqgi                   [.] SQVM::StartCall
     2.91%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.74%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     2.61%  sqgi     sqgi                   [.] SQVM::Return
     2.60%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     1.82%  sqgi     sqgi                   [.] sqjit_try_execute_closure
     1.71%  sqgi     sqgi                   [.] SQVM::LeaveFrame
     1.60%  sqgi     sqgi                   [.] SQVM::ObjCmp
     1.26%  sqgi     sqgi                   [.] SQVM::IsFalse
     1.20%  sqgi     sqgi                   [.] sqjit_on_function_enter
     1.14%  sqgi     sqgi                   [.] SQVM::CMP_OP
     1.14%  sqgi     libc.so.6              [.] __memset_zva64
     1.03%  sqgi     sqgi                   [.] SQJitWriteLog::CanReleaseInContext
     0.91%  sqgi     sqgi                   [.] sqjit_loop_header_is_rejected
     0.91%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.80%  sqgi     sqgi                   [.] SQVM::EnterFrame
     0.80%  sqgi     sqgi                   [.] sqjit_native_call_fits_stack
     0.68%  sqgi     sqgi                   [.] sqjit_context
     0.68%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     0.62%  sqgi     sqgi                   [.] sqjit_native_precheck


#
# (Cannot load tips.txt file, please install perf!)
#
