# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 5190931085
#
# Overhead  Command  Shared Object          Symbol                                         
# ........  .......  .....................  ...............................................
#
    10.28%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     9.17%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     6.20%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)29, false>
     4.65%  sqgi     sqgi                   [.] SQVM::ObjCmp
     3.51%  sqgi     sqgi                   [.] SQJitWriteLog::CanReleaseInContext
     2.55%  sqgi     sqgi                   [.] SQVM::CMP_OP
     1.85%  sqgi     sqgi                   [.] SQVM::IsFalse
     1.75%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c62c
     1.67%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566b404
     1.49%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c32c
     1.40%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c138
     1.14%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566b450
     1.05%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566b2d8
     1.05%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566bb88
     1.05%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c088
     0.97%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566bb80
     0.97%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c154
     0.97%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566b4a8
     0.97%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566b460
     0.97%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566bbe8
     0.88%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566b90c
     0.88%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566b334
     0.88%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c92c
     0.88%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c298
     0.79%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c9ec
     0.79%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c44c
     0.79%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c33c
     0.70%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c168
     0.70%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c194
     0.70%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566b858
     0.69%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566be34
     0.62%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c40c
     0.62%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566b1ac
     0.62%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c140
     0.61%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566b628
     0.61%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566b21c
     0.61%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c034
     0.53%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c57c
     0.53%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566b848
     0.53%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c144
     0.53%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566b6bc
     0.53%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c3fc
     0.53%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c37c
     0.53%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c708
     0.53%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c208
     0.52%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c170
     0.51%  sqgi     [JIT] tid 595956       [.] 0x0000ffffb566c2d0


#
# (Cannot load tips.txt file, please install perf!)
#
