# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 227  of event 'cycles:u'
# Event count (approx.): 888587814
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                            
# ........  .......  ............................  ..................................................................................................................................................................
#
    15.22%  sqgi     sqgi                          [.] SQJitWriteLog::RecordMember
    12.98%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
    10.77%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_integer_logged
     8.72%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     8.50%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     7.70%  sqgi     sqgi                          [.] sqjit_a64_resolve_root_store_slot
     6.66%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_reference_logged
     4.45%  sqgi     sqgi                          [.] sqjit_a64_helper_instance_field_set_integer_logged
     2.57%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bda1d8
     1.54%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bd9268
     1.54%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bd9280
     1.50%  sqgi     sqgi                          [.] sqjit_write_log_ensure
     1.03%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bd918c
     1.03%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bd925c
     1.03%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bd8220
     1.03%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bd911c
     1.02%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bda1ac
     0.95%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bdb138
     0.51%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bda120
     0.51%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bd81d8
     0.51%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bda224
     0.51%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bd922c
     0.51%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bda21c
     0.51%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bda1cc
     0.51%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bda20c
     0.51%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bd8208
     0.51%  sqgi     sqgi                          [.] sqjit_a64_compile_integer_proto(SQFunctionProto*, SQObjectPtr*, SQClosure*, SQJitNative*, SQJitCompileAttempt&)::{lambda(long long, long long)#14}::operator()
     0.51%  sqgi     sqgi                          [.] SQNativeClosure::Release
     0.51%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bd9250
     0.51%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bda190
     0.51%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bd81fc
     0.51%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bd8154
     0.51%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bd9240
     0.51%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bda170
     0.51%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bd92a0
     0.51%  sqgi     [JIT] tid 595889              [.] 0x0000ffffa2bdb228


#
# (Cannot load tips.txt file, please install perf!)
#
