# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:u'
# Event count (approx.): 24407508152
#
# Overhead  Command  Shared Object                 Symbol                                                                                   
# ........  .......  ............................  .........................................................................................
#
    52.88%  sqgi     sqgi                          [.] sqjit_a64_precise_step
    17.30%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
    12.75%  sqgi     sqgi                          [.] sqjit_a64_precise_member
     8.67%  sqgi     sqgi                          [.] sqjit_context
     1.47%  sqgi     sqgi                          [.] SQObjectPtr::operator=
     1.36%  sqgi     sqgi                          [.] SQVM::ARITH_OP
     0.86%  sqgi     sqgi                          [.] SQVM::ObjCmp
     0.54%  sqgi     sqgi                          [.] SQVM::CMP_OP


#
# (Cannot load tips.txt file, please install perf!)
#
